,0
circuity-avg,0.014008369680745663
edge-length-avg,13577.003685821152
intersection-count,5512.976213896093
k-avg,0.37437567683060946
m,24192.1100554413
n,6954.054256460698
self-loop-proportion,0.00023641428809215905
street-length-avg,13390.591736443075
street-segment-count,13808.361173209338
streets-per-node-avg,0.08272423237307229
streets-per-node-counts-0,0.0
streets-per-node-counts-1,203.12928105159614
streets-per-node-counts-2,3.734060627738532
streets-per-node-counts-3,3181.444938746311
streets-per-node-counts-4,368.59650809264076
streets-per-node-counts-5,0.16256818385048735
streets-per-node-proportions0,0.0
streets-per-node-proportions1,0.010248552404391327
streets-per-node-proportions2,0.007685166670784231
streets-per-node-proportions3,0.014091781518082134
streets-per-node-proportions4,0.012517534095466624
streets-per-node-proportions5,1.5902083631573293e-05
betweenness,0.0037919035935078224
mean-lanes,204.4340782642372
