originID,grade,type,start_time,end_time,lasting_time,o_lat,o_lon,d_lat,d_lon,dist (km)
'3591244441315901891',minor,CONGESTION,02/28/2022 11:07:27,02/28/2022 11:52:27,0:45:00,1.41894,103.80067,1.4212,103.79728,0.4525188071106177
'4434909158511840624',minor,CONGESTION,02/28/2022 11:13:20,02/28/2022 11:27:31,0:14:11,1.31305,103.84509,1.3149,103.84599,0.22776857181842033
'4206871672274328410',minor,CONGESTION,02/28/2022 11:24:01,02/28/2022 11:37:31,0:13:30,1.31442,103.84569,1.3149,103.84599,0.06270370106787586
'2236203864590761447',minor,CONGESTION,02/28/2022 11:35:27,02/28/2022 11:50:27,0:15:00,1.38161,103.73561,1.38438,103.73884,0.4722553438588144
'4152178058639687029',minor,CONGESTION,02/28/2022 11:53:01,02/28/2022 12:07:31,0:14:30,1.31615,103.84709,1.31648,103.8475,0.05842522299158574
'4281424569988961373',minor,CONGESTION,02/28/2022 14:58:46,02/28/2022 15:11:32,0:12:46,1.31407,103.87498,1.31381,103.87501,0.028942678749418277
'4296246528222961416',minor,CONGESTION,02/28/2022 16:44:46,02/28/2022 16:57:32,0:12:46,1.3182,103.87509,1.31633,103.87492,0.2076387232838955
'3561322718714643998',minor,CONGESTION,02/28/2022 22:42:01,02/28/2022 22:57:33,0:15:32,1.39484,103.81732,1.39445,103.81868,0.15737378764893167
'1460249969628306578',minor,CONGESTION,02/28/2022 22:54:57,02/28/2022 23:24:57,0:30:00,1.35223,103.8574,1.34714,103.85915,0.5955694799670505
'123314463883304828',minor,CONGESTION,02/28/2022 22:59:27,02/28/2022 23:14:27,0:15:00,1.42646,103.78253,1.42404,103.77469,0.9125900485565924
'66175446085223041',minor,CONGESTION,02/28/2022 23:06:31,02/28/2022 23:19:32,0:13:01,1.31615,103.84709,1.31524,103.84623,0.13887173222443538
'3932110891147114387',minor,CONGESTION,02/28/2022 23:10:57,02/28/2022 23:25:57,0:15:00,1.36199,103.85889,1.35806,103.85752,0.46052950373607615
'713978697660582147',minor,CONGESTION,02/28/2022 23:10:27,03/01/2022 00:55:27,1:45:00,1.36681,103.94828,1.3627,103.95901,1.2776786841788954
'832226483711296628',minor,CONGESTION,02/28/2022 23:11:57,02/28/2022 23:26:57,0:15:00,1.4159,103.77145,1.41243,103.77154,0.3838257834332377
'278089381260249401',minor,CONGESTION,02/28/2022 23:14:57,02/28/2022 23:29:57,0:15:00,1.42404,103.77469,1.42199,103.77296,0.2974030984980084
'2346342210884015098',minor,CONGESTION,02/28/2022 23:17:27,02/28/2022 23:32:27,0:15:00,1.41894,103.80067,1.4212,103.79728,0.4525188071106177
'3118928949416182171',minor,CONGESTION,02/28/2022 23:29:01,02/28/2022 23:41:32,0:12:31,1.31729,103.84889,1.31729,103.84889,0.0
'2843020631091278208',minor,CONGESTION,02/28/2022 23:28:27,02/28/2022 23:43:27,0:15:00,1.35925,103.7017,1.35692,103.69964,0.34487039974079065
'690124994571988295',minor,CONGESTION,02/28/2022 23:30:27,02/28/2022 23:45:27,0:15:00,1.42535,103.7894,1.42612,103.78679,0.30267658322491875
'1941073654352858273',minor,CONGESTION,02/28/2022 23:31:27,03/01/2022 00:01:27,0:30:00,1.32756,103.86913,1.32967,103.86402,0.6146902053143872
'2287128227858492006',minor,CONGESTION,02/28/2022 23:32:57,02/28/2022 23:47:57,0:15:00,1.36653,103.8605,1.35806,103.85752,0.9935525609225948
'921187645728944829',minor,CONGESTION,02/28/2022 23:33:27,03/01/2022 00:18:27,0:45:00,1.33414,103.81809,1.33214,103.81627,0.2998874801483894
'3818916381579221677',minor,CONGESTION,02/28/2022 23:35:27,02/28/2022 23:50:27,0:15:00,1.42646,103.78253,1.42404,103.77469,0.9125900485565924
'3143176886542549827',minor,CONGESTION,02/28/2022 23:37:27,03/01/2022 00:07:27,0:30:00,1.41894,103.80067,1.4212,103.79728,0.4525188071106177
'1708556415028161246',minor,CONGESTION,02/28/2022 23:36:57,03/01/2022 00:06:57,0:30:00,1.28573,103.79799,1.28759,103.795,0.3911908880009748
'2304778267951379781',minor,CONGESTION,02/28/2022 23:36:27,02/28/2022 23:51:27,0:15:00,1.36151,103.70372,1.35692,103.69964,0.6810014740082493
'1345133175484310010',minor,CONGESTION,02/28/2022 23:38:57,02/28/2022 23:53:57,0:15:00,1.42404,103.77469,1.42199,103.77296,0.2974030984980084
'290798280858090636',minor,CONGESTION,02/28/2022 23:42:57,02/28/2022 23:57:57,0:15:00,1.3328,103.86237,1.32961,103.86243,0.3527970484819462
'1720524476399094294',minor,CONGESTION,02/28/2022 23:47:27,03/01/2022 00:02:27,0:15:00,1.41466,103.80536,1.41679,103.80325,0.3325792570140586
