model,city,seed,depth,tod,#datapoints,#datapoints-train-sample-mean,#datapoints-test-sample-mean,np.mean(lr_object.scores_MSE),np.std(lr_object.scores_MSE),np.mean(lr_object.scores_QWK),np.std(lr_object.scores_QWK),num_splits
ridge,London,105,1,6,"(246, 16)",164.0,82.0,8.975635170373117,0.0,0.08184308039310462,0.0,7
randomforestregressor,MexicoCity,125,1,6,"(164, 16)",109.0,55.0,9.596796493180443,0.4148458419735976,0.007811571721201648,0.0171918676606715,7
ridge,Capetown,95,1,6,"(596, 16)",399.0,197.0,0.7538728140812107,0.0,0.07819486326297187,0.0,7
linearregression,NewYorkCity,115,1,6,"(127, 16)",85.0,42.0,8.13328407098833,0.0,0.11159387148410704,0.0,7
randomforestregressor,Bogota,135,1,6,"(34, 16)",22.0,12.0,1.4403537125541857,0.053878846875993855,0.17271352985638705,0.10753722374872873,7
randomforestregressor,Istanbul,125,1,6,"(278, 16)",186.0,92.0,0.9593175118016708,0.012447697630827839,-0.026237625019609134,0.03059238540059337,7
gradientboostingregressor,MexicoCity,125,1,6,"(164, 16)",109.0,55.0,9.9325952477633,0.112377338032901,0.10951914533901479,0.023541855721839082,7
randomforestregressor,London,115,1,6,"(205, 16)",137.0,68.0,6.624915283266465,0.1952273313227639,-0.03161322895006012,0.040795104896321835,7
ridge,NewYorkCity,115,1,6,"(127, 16)",85.0,42.0,7.928672923117872,0.0,0.06120276742948383,0.0,7
randomforestregressor,Capetown,105,1,6,"(536, 16)",359.0,177.0,0.8226052898986241,0.02516068461854924,0.19518642187114363,0.020492308322133,7
gradientboostingregressor,Bogota,135,1,6,"(34, 16)",22.0,12.0,1.1727442612503978,0.010617519112985226,0.43049932523616735,0.023139579216575258,7
lasso,MexicoCity,125,1,6,"(164, 16)",109.0,55.0,5.97467551076903,8.881784197001252e-16,0.0,0.0,7
gradientboostingregressor,Istanbul,125,1,6,"(278, 16)",186.0,92.0,1.0673528958199268,0.009375685555047279,-0.10373822687538535,0.014085602071396554,7
randomforestregressor,Singapore,85,1,6,"(2279, 16)",1526.0,753.0,2.3607861538530335,0.08456347498869413,0.26039943932454973,0.013643572731195661,7
gradientboostingregressor,London,115,1,6,"(205, 16)",137.0,68.0,7.113933093089545,0.07716426041481658,0.022645542794187845,0.003660116308573213,7
randomforestregressor,NewYorkCity,125,1,6,"(114, 16)",76.0,38.0,7.160824795922421,0.15943257436191727,0.03152091038340891,0.03683303324710054,7
gradientboostingregressor,Capetown,105,1,6,"(536, 16)",359.0,177.0,0.867875516836438,0.01631467447023457,0.16803554609567062,0.013214038268339067,7
lasso,Bogota,135,1,6,"(34, 16)",22.0,12.0,1.7525140431351927,0.0,0.0,0.0,7
linearregression,MexicoCity,125,1,6,"(164, 16)",109.0,55.0,7.382513675035584,1.7763568394002505e-15,0.16998597475455815,2.7755575615628914e-17,7
lasso,Istanbul,125,1,6,"(278, 16)",186.0,92.0,0.8685311181273664,1.1102230246251565e-16,0.0,0.0,7
gradientboostingregressor,NewYorkCity,125,1,6,"(114, 16)",76.0,38.0,8.799100882677767,0.49652162045793446,0.07195932344424759,0.017065570174184506,7
lasso,London,115,1,6,"(205, 16)",137.0,68.0,5.843074516430638,8.881784197001252e-16,0.0,0.0,7
linearregression,Bogota,135,1,6,"(34, 16)",22.0,12.0,2.2512722637851277,0.0,0.10000000000000009,0.0,7
lasso,Capetown,105,1,6,"(536, 16)",359.0,177.0,0.8008983644697169,0.0,0.0,0.0,7
ridge,MexicoCity,125,1,6,"(164, 16)",109.0,55.0,6.648939684367727,8.881784197001252e-16,0.14575866188769404,0.0,7
lasso,NewYorkCity,125,1,6,"(114, 16)",76.0,38.0,4.854882519336997,8.881784197001252e-16,0.0,0.0,7
linearregression,Istanbul,125,1,6,"(278, 16)",186.0,92.0,0.9759537230528099,1.1102230246251565e-16,0.016927634363097743,0.0,7
linearregression,London,115,1,6,"(205, 16)",137.0,68.0,5.762671207499458,8.881784197001252e-16,0.27182866556836904,0.0,7
gradientboostingregressor,Singapore,85,1,6,"(2279, 16)",1526.0,753.0,2.416833460249316,0.044413161194511996,0.18889026074120263,0.014848068901972444,7
ridge,Bogota,135,1,6,"(34, 16)",22.0,12.0,1.7426236002623336,4.440892098500626e-16,0.5151515151515151,0.0,7
randomforestregressor,MexicoCity,135,1,6,"(178, 16)",119.0,59.0,6.2602401487321035,0.10979838886524254,0.04694204717987682,0.03332358874269776,7
linearregression,Capetown,105,1,6,"(536, 16)",359.0,177.0,0.753238289360982,1.1102230246251565e-16,0.17068273092369482,2.7755575615628914e-17,7
linearregression,NewYorkCity,125,1,6,"(114, 16)",76.0,38.0,6.239359442116686,8.881784197001252e-16,0.0,0.0,7
ridge,Istanbul,125,1,6,"(278, 16)",186.0,92.0,0.9715492461974382,1.1102230246251565e-16,0.0334103803320025,0.0,7
ridge,London,115,1,6,"(205, 16)",137.0,68.0,5.735124594894778,0.0,0.23163841807909608,5.551115123125783e-17,7
