city,scale,featurename,FI
istanbul,150,#traffic lights,0.0034
istanbul,150,SPN-avg,0.0165
istanbul,150,avg circuity,0.0022
istanbul,150,avg degree,0.0081
istanbul,150,avg lanes,0.0133
istanbul,150,local centrality,0.0071
mexicocity,025,#SPN-2,0.0076
mexicocity,025,#SPN-3,0.0056
mexicocity,025,#SPN-4,0.0096
mexicocity,025,#SPN-5,0.0015
mexicocity,025,#edges,0.0035
mexicocity,025,#free turns,0.0069
mexicocity,025,#nodes,0.0069
mexicocity,025,#total crossings,0.0264
mexicocity,025,#traffic lights,0.0203
mexicocity,025,SPN-avg,0.0084
mexicocity,025,avg circuity,0.009
mexicocity,025,avg degree,0.0071
mexicocity,025,avg lanes,0.0076
mexicocity,025,local centrality,0.0049
mexicocity,050,#SPN-2,0.004
mexicocity,050,#SPN-3,0.0058
mexicocity,050,#SPN-4,0.0096
mexicocity,050,#SPN-5,0.0016
mexicocity,050,#edges,0.0041
mexicocity,050,#free turns,0.0014
mexicocity,050,#nodes,0.005
mexicocity,050,#total crossings,0.0164
mexicocity,050,#traffic lights,0.0177
mexicocity,050,SPN-avg,0.011
mexicocity,050,avg circuity,0.0103
mexicocity,050,avg degree,0.0088
mexicocity,050,avg lanes,0.0078
mexicocity,050,local centrality,0.0072
mexicocity,100,#SPN-2,0.0025
mexicocity,100,#SPN-3,0.0077
mexicocity,100,#SPN-4,0.0068
mexicocity,100,#SPN-5,0.0012
mexicocity,100,#edges,0.0034
mexicocity,100,#free turns,0.0006
mexicocity,100,#nodes,0.0063
mexicocity,100,#total crossings,0.0115
mexicocity,100,#traffic lights,0.0117
mexicocity,100,SPN-avg,0.0129
mexicocity,100,avg circuity,0.0082
mexicocity,100,avg degree,0.0112
mexicocity,100,avg lanes,0.0086
mexicocity,100,local centrality,0.0134
mumbai,025,#SPN-2,0.0052
mumbai,025,#SPN-3,0.0116
mumbai,025,#SPN-4,0.0058
mumbai,025,#SPN-5,0.0015
mumbai,025,#edges,0.013
mumbai,025,#free turns,0.0006
mumbai,025,#nodes,0.0096
mumbai,025,#total crossings,0.0036
mumbai,025,#traffic lights,0.003
mumbai,025,SPN-avg,0.0041
mumbai,025,avg circuity,0.0121
mumbai,025,avg degree,0.0143
mumbai,025,avg lanes,0.0038
mumbai,025,local centrality,0.0059
mumbai,050,#SPN-2,0.0068
mumbai,050,#SPN-3,0.0088
mumbai,050,#SPN-4,0.0079
mumbai,050,#SPN-5,0.0021
mumbai,050,#edges,0.0105
mumbai,050,#free turns,0.0003
mumbai,050,#nodes,0.0166
mumbai,050,#total crossings,0.0076
mumbai,050,#traffic lights,0.0074
mumbai,050,SPN-avg,0.0054
mumbai,050,avg circuity,0.0134
mumbai,050,avg degree,0.0112
mumbai,050,avg lanes,0.0068
mumbai,050,local centrality,0.0071
mumbai,100,#SPN-2,0.0053
mumbai,100,#SPN-3,0.0041
mumbai,100,#SPN-4,0.0041
mumbai,100,#SPN-5,0.0011
mumbai,100,#edges,0.0094
mumbai,100,#free turns,0.0001
mumbai,100,#nodes,0.0073
mumbai,100,#total crossings,0.0074
mumbai,100,#traffic lights,0.009
mumbai,100,SPN-avg,0.0034
mumbai,100,avg circuity,0.0065
mumbai,100,avg degree,0.0169
mumbai,100,avg lanes,0.0042
mumbai,100,local centrality,0.0061
newyorkcity,025,#SPN-2,0.0072
newyorkcity,025,#SPN-3,0.0058
newyorkcity,025,#SPN-4,0.0034
newyorkcity,025,#SPN-5,0.003
newyorkcity,025,#edges,0.0076
newyorkcity,025,#free turns,0.0146
newyorkcity,025,#nodes,0.0033
newyorkcity,025,#total crossings,0.0116
newyorkcity,025,#traffic lights,0.0116
newyorkcity,025,SPN-avg,0.0061
newyorkcity,025,avg circuity,0.0033
newyorkcity,025,avg degree,0.0186
newyorkcity,025,avg lanes,0.0059
newyorkcity,025,local centrality,0.0076
newyorkcity,050,#SPN-2,0.005
newyorkcity,050,#SPN-3,0.0051
newyorkcity,050,#SPN-4,0.0036
newyorkcity,050,#SPN-5,0.002
newyorkcity,050,#edges,0.0063
newyorkcity,050,#free turns,0.011
newyorkcity,050,#nodes,0.0033
newyorkcity,050,#total crossings,0.0138
newyorkcity,050,#traffic lights,0.0118
newyorkcity,050,SPN-avg,0.0045
newyorkcity,050,avg circuity,0.0027
newyorkcity,050,avg degree,0.0235
newyorkcity,050,avg lanes,0.0101
newyorkcity,050,local centrality,0.0109
newyorkcity,100,#SPN-2,0.0053
newyorkcity,100,#SPN-3,0.0023
newyorkcity,100,#SPN-4,0.0019
newyorkcity,100,#SPN-5,0.0006
newyorkcity,100,#edges,0.0058
newyorkcity,100,#free turns,0.0106
newyorkcity,100,#nodes,0.0025
newyorkcity,100,#total crossings,0.0129
newyorkcity,100,#traffic lights,0.0115
newyorkcity,100,SPN-avg,0.0037
newyorkcity,100,avg circuity,0.0022
newyorkcity,100,avg degree,0.023
newyorkcity,100,avg lanes,0.0127
newyorkcity,100,local centrality,0.0105
