NID,PC,Description,Length,Linestring
12,2826,Sembawang Dr,0.81232,"MULTILINESTRING ((103.82279 1.45885 0,103.82259 1.45895 0,103.82233 1.45909 0),(103.82233 1.45909 0,103.82204 1.45925 0),(103.82204 1.45925 0,103.82156 1.45952 0),(103.82156 1.45952 0,103.82115 1.45976 0),(103.82115 1.45976 0,103.82089 1.45991 0),(103.82089 1.45991 0,103.82068 1.46004 0),(103.82068 1.46004 0,103.82027 1.4603 0,103.8198 1.46061 0),(103.8198 1.46061 0,103.81947 1.46084 0,103.81923 1.46102 0),(103.81923 1.46102 0,103.81904 1.46116 0,103.81889 1.46127 0,103.81884 1.46131 0),(103.81884 1.46131 0,103.8188 1.46134 0,103.81861 1.46148 0,103.81791 1.46201 0),(103.81791 1.46201 0,103.81773 1.46215 0),(103.81773 1.46215 0,103.81761 1.46224 0),(103.81761 1.46224 0,103.8173 1.46248 0),(103.8173 1.46248 0,103.81689 1.4628 0),(103.81689 1.4628 0,103.81673 1.46292 0))"
13,15,Woodlands Ave 10,0.88174,"MULTILINESTRING ((103.81673 1.46292 0,103.81657 1.46303 0,103.81634 1.46318 0),(103.81634 1.46318 0,103.81612 1.46331 0,103.81591 1.46342 0),(103.81591 1.46342 0,103.8158 1.46347 0,103.81569 1.46352 0),(103.81569 1.46352 0,103.81537 1.46364 0,103.81505 1.46374 0,103.81489 1.46378 0),(103.81489 1.46378 0,103.81473 1.46381 0,103.81451 1.46385 0),(103.81451 1.46385 0,103.81437 1.46387 0,103.81428 1.46388 0),(103.81428 1.46388 0,103.81394 1.4639 0,103.8136 1.4639 0,103.81319 1.46386 0,103.81289 1.46381 0,103.81264 1.46376 0),(103.81264 1.46376 0,103.81239 1.4637 0,103.81217 1.46363 0),(103.81217 1.46363 0,103.81202 1.46357 0,103.81188 1.46351 0),(103.81188 1.46351 0,103.8116 1.46338 0,103.81134 1.46325 0,103.81111 1.46313 0),(103.81111 1.46313 0,103.81049 1.46283 0),(103.81049 1.46283 0,103.81008 1.46263 0),(103.81008 1.46263 0,103.80998 1.46258 0,103.80984 1.46251 0,103.80966 1.46242 0),(103.80966 1.46242 0,103.80953 1.46235 0),(103.80953 1.46235 0,103.80936 1.46226 0))"
14,14,Woodlands Ave 8,1.211,"MULTILINESTRING ((103.80936 1.46226 0,103.80909 1.46212 0),(103.80909 1.46212 0,103.80839 1.46175 0,103.80787 1.46148 0,103.80771 1.4614 0),(103.80771 1.4614 0,103.80727 1.46118 0,103.8068 1.46095 0),(103.8068 1.46095 0,103.8067 1.4609 0),(103.8067 1.4609 0,103.80611 1.4606 0,103.80598 1.46054 0),(103.80598 1.46054 0,103.8058 1.46045 0,103.80573 1.46041 0),(103.80573 1.46041 0,103.80553 1.4603 0,103.80532 1.46017 0,103.80518 1.46007 0),(103.80518 1.46007 0,103.80496 1.4599 0,103.80465 1.45965 0,103.80434 1.45938 0,103.804 1.45904 0,103.80309 1.45807 0,103.80276 1.45775 0,103.8027 1.4577 0),(103.8027 1.4577 0,103.80247 1.45751 0,103.80218 1.45729 0,103.80193 1.45714 0,103.80167 1.45699 0,103.80143 1.45686 0),(103.80143 1.45686 0,103.8013 1.4568 0,103.80115 1.45674 0),(103.80115 1.45674 0,103.80101 1.45669 0,103.80088 1.45665 0),(103.80088 1.45665 0,103.80059 1.45657 0),(103.80059 1.45657 0,103.80045 1.45654 0),(103.80045 1.45654 0,103.80027 1.4565 0))"
15,2832,Woodlands Ind Park E4,0.77089,"MULTILINESTRING ((103.80027 1.4565 0,103.80009 1.45646 0),(103.80009 1.45646 0,103.79985 1.4564 0,103.7996 1.45633 0,103.79928 1.45623 0,103.79901 1.45613 0,103.79872 1.45601 0,103.79841 1.45587 0),(103.79841 1.45587 0,103.79817 1.45573 0,103.79792 1.45558 0,103.79757 1.45536 0),(103.79757 1.45536 0,103.79716 1.45511 0),(103.79716 1.45511 0,103.79681 1.45489 0),(103.79681 1.45489 0,103.79666 1.4548 0),(103.79666 1.4548 0,103.79631 1.45458 0,103.79582 1.45428 0),(103.79582 1.45428 0,103.79529 1.45396 0,103.79467 1.45358 0,103.79415 1.45327 0))"
16,13,Woodlands Ave 4,0.47023,"MULTILINESTRING ((103.79415 1.45327 0,103.79406 1.45322 0),(103.79406 1.45322 0,103.79378 1.45307 0,103.79357 1.45296 0,103.79329 1.45283 0,103.79316 1.45278 0),(103.79316 1.45278 0,103.79295 1.45269 0,103.79264 1.45258 0,103.79221 1.45244 0,103.79177 1.45232 0,103.79132 1.45221 0),(103.79132 1.45221 0,103.79098 1.45213 0),(103.79098 1.45213 0,103.79071 1.45207 0),(103.79071 1.45207 0,103.79054 1.45203 0),(103.79054 1.45203 0,103.79047 1.45201 0),(103.79047 1.45201 0,103.79035 1.45198 0),(103.79035 1.45198 0,103.79018 1.45194 0))"
17,12,Admiralty Rd W,1.2707,"MULTILINESTRING ((103.79018 1.45194 0,103.78981 1.45184 0),(103.78981 1.45184 0,103.78969 1.45181 0),(103.78969 1.45181 0,103.78916 1.45168 0),(103.78916 1.45168 0,103.78821 1.45144 0),(103.78821 1.45144 0,103.78784 1.45135 0),(103.78784 1.45135 0,103.78764 1.4513 0),(103.78764 1.4513 0,103.78673 1.45109 0,103.78644 1.45101 0,103.78626 1.45099 0,103.78608 1.451 0,103.78595 1.45103 0),(103.78595 1.45103 0,103.78573 1.45109 0,103.78555 1.45116 0,103.78535 1.45124 0,103.78518 1.4513 0,103.78501 1.45133 0,103.78481 1.45133 0,103.78462 1.45131 0,103.78447 1.45127 0),(103.78447 1.45127 0,103.78423 1.45118 0),(103.78423 1.45118 0,103.78407 1.4511 0,103.78376 1.45096 0,103.78359 1.45092 0,103.78353 1.45091 0),(103.78353 1.45091 0,103.78344 1.4509 0),(103.78344 1.4509 0,103.78327 1.45091 0,103.78307 1.45094 0),(103.78307 1.45094 0,103.78265 1.45103 0),(103.78265 1.45103 0,103.78228 1.45114 0),(103.78228 1.45114 0,103.78165 1.45132 0),(103.78165 1.45132 0,103.78146 1.45137 0,103.78127 1.45141 0,103.78105 1.45144 0,103.78082 1.45145 0),(103.78082 1.45145 0,103.78057 1.45144 0,103.78036 1.45142 0,103.78013 1.45138 0,103.77992 1.45132 0,103.7797 1.45124 0),(103.7797 1.45124 0,103.77952 1.45116 0,103.77934 1.45107 0,103.77916 1.45097 0))"
18,12,Admiralty Rd W,0.06617,"MULTILINESTRING ((103.77913 1.45108 0,103.77932 1.45119 0,103.77948 1.45127 0,103.77966 1.45135 0))"
19,13,Woodlands Ave 4,1.23042,"MULTILINESTRING ((103.77966 1.45135 0,103.77985 1.45142 0,103.78005 1.45148 0,103.78026 1.45153 0,103.78043 1.45156 0),(103.78043 1.45156 0,103.78061 1.45158 0,103.7808 1.45159 0),(103.7808 1.45159 0,103.781 1.45159 0,103.78122 1.45157 0),(103.78122 1.45157 0,103.78148 1.45153 0,103.78168 1.45148 0),(103.78168 1.45148 0,103.78199 1.4514 0,103.78231 1.45131 0),(103.78231 1.45131 0,103.78271 1.4512 0),(103.78271 1.4512 0,103.78315 1.45108 0,103.78344 1.45105 0),(103.78344 1.45105 0,103.7837 1.45108 0,103.78396 1.45116 0,103.78432 1.45131 0,103.7845 1.45137 0),(103.7845 1.45137 0,103.78465 1.4514 0,103.78478 1.45141 0,103.785 1.45141 0,103.78523 1.45137 0,103.78558 1.45126 0,103.78578 1.45121 0,103.78601 1.45118 0),(103.78601 1.45118 0,103.78627 1.45121 0,103.78724 1.45146 0),(103.78724 1.45146 0,103.78754 1.45154 0),(103.78754 1.45154 0,103.78771 1.45158 0),(103.78771 1.45158 0,103.78914 1.4519 0),(103.78914 1.4519 0,103.78942 1.45196 0),(103.78942 1.45196 0,103.78971 1.45203 0),(103.78971 1.45203 0,103.78985 1.45206 0),(103.78985 1.45206 0,103.79029 1.45217 0),(103.79029 1.45217 0,103.79042 1.4522 0))"
20,2832,Woodlands Ind Park E4,0.42868,"MULTILINESTRING ((103.79042 1.4522 0,103.79052 1.45223 0),(103.79052 1.45223 0,103.79116 1.45238 0),(103.79116 1.45238 0,103.79189 1.45256 0,103.79226 1.45266 0,103.79259 1.45276 0,103.79301 1.45292 0,103.79336 1.45307 0,103.79374 1.45325 0,103.79403 1.45341 0))"
21,14,Woodlands Ave 8,0.817,"MULTILINESTRING ((103.79403 1.45341 0,103.79412 1.45346 0),(103.79412 1.45346 0,103.79443 1.45364 0,103.7948 1.45387 0,103.79548 1.45431 0),(103.79548 1.45431 0,103.79615 1.45475 0),(103.79615 1.45475 0,103.79652 1.45499 0),(103.79652 1.45499 0,103.79669 1.4551 0),(103.79669 1.4551 0,103.79716 1.45541 0,103.7975 1.45562 0),(103.7975 1.45562 0,103.79775 1.45576 0,103.79801 1.4559 0,103.79826 1.45603 0,103.79844 1.45612 0),(103.79844 1.45612 0,103.7987 1.45624 0,103.79894 1.45633 0,103.7992 1.45642 0,103.79945 1.4565 0),(103.79945 1.4565 0,103.79964 1.45655 0),(103.79964 1.45655 0,103.79988 1.45661 0),(103.79988 1.45661 0,103.8004 1.45674 0),(103.8004 1.45674 0,103.80054 1.45677 0))"
