NID,PC,Description,Length,Linestring
875,4805,Choa Chu Kang Link,0.0371,"MULTILINESTRING ((103.75203 1.39434 0,103.75205 1.39421 0),(103.75205 1.39421 0,103.75205 1.39419 0),(103.75205 1.39419 0,103.75208 1.39407 0,103.75209 1.39401 0))"
876,573,Verde Walk,0.19469,"MULTILINESTRING ((103.75209 1.39401 0,103.7521 1.39393 0,103.75212 1.39379 0),(103.75212 1.39379 0,103.75213 1.39363 0,103.75212 1.39346 0,103.7521 1.39335 0),(103.7521 1.39335 0,103.75206 1.39325 0,103.752 1.39314 0),(103.752 1.39314 0,103.75191 1.39303 0,103.7518 1.39293 0,103.75171 1.39287 0,103.75161 1.39282 0),(103.75161 1.39282 0,103.75152 1.39279 0),(103.75152 1.39279 0,103.75141 1.39277 0,103.75127 1.39275 0))"
877,572,Choa Chu Kang Dr,0.70036,"MULTILINESTRING ((103.75127 1.39275 0,103.75116 1.39274 0),(103.75116 1.39274 0,103.751 1.39272 0),(103.751 1.39272 0,103.75079 1.3927 0),(103.75079 1.3927 0,103.7506 1.39267 0),(103.7506 1.39267 0,103.7505 1.39265 0,103.75046 1.39264 0),(103.75046 1.39264 0,103.75017 1.39255 0,103.74997 1.39248 0,103.74975 1.39239 0),(103.74975 1.39239 0,103.74957 1.39232 0),(103.74957 1.39232 0,103.74955 1.39231 0),(103.74955 1.39231 0,103.74939 1.39226 0,103.74919 1.39221 0,103.74896 1.39217 0,103.74859 1.39212 0,103.74829 1.39209 0),(103.74829 1.39209 0,103.74723 1.39197 0),(103.74723 1.39197 0,103.74705 1.39195 0,103.74694 1.39194 0),(103.74694 1.39194 0,103.74685 1.39194 0,103.74666 1.39194 0,103.7465 1.39196 0),(103.7465 1.39196 0,103.74648 1.39196 0,103.74629 1.39199 0,103.74612 1.39202 0),(103.74612 1.39202 0,103.74584 1.39208 0),(103.74584 1.39208 0,103.74563 1.39212 0),(103.74563 1.39212 0,103.74528 1.39219 0),(103.74528 1.39219 0,103.7452 1.39221 0),(103.7452 1.39221 0,103.7451 1.39223 0))"
878,571,Choa Chu Kang Way,0.43855,"MULTILINESTRING ((103.7451 1.39223 0,103.74496 1.39226 0),(103.74496 1.39226 0,103.74483 1.39229 0,103.74462 1.39234 0),(103.74462 1.39234 0,103.74443 1.39239 0),(103.74443 1.39239 0,103.74388 1.39252 0),(103.74388 1.39252 0,103.74373 1.39256 0),(103.74373 1.39256 0,103.7436 1.39259 0,103.74351 1.39261 0),(103.74351 1.39261 0,103.74328 1.39266 0,103.74324 1.39267 0),(103.74324 1.39267 0,103.743 1.39273 0,103.74275 1.3928 0),(103.74275 1.3928 0,103.74271 1.39281 0),(103.74271 1.39281 0,103.74252 1.39287 0,103.74233 1.39294 0,103.74215 1.39301 0),(103.74215 1.39301 0,103.74187 1.39312 0),(103.74187 1.39312 0,103.74154 1.39325 0),(103.74154 1.39325 0,103.74137 1.39333 0),(103.74137 1.39333 0,103.74133 1.39335 0))"
879,577,Choa Chu Kang Link,0.04382,"MULTILINESTRING ((103.75203 1.39434 0,103.75202 1.39438 0),(103.75202 1.39438 0,103.75196 1.39473 0))"
880,576,Choa Chu Kang Dr,0.66624,"MULTILINESTRING ((103.75196 1.39473 0,103.75191 1.39502 0),(103.75191 1.39502 0,103.75186 1.39528 0),(103.75186 1.39528 0,103.75182 1.39557 0),(103.75182 1.39557 0,103.7518 1.39568 0),(103.7518 1.39568 0,103.75178 1.3958 0),(103.75178 1.3958 0,103.75175 1.39593 0,103.75169 1.39607 0),(103.75169 1.39607 0,103.75164 1.39616 0,103.75155 1.39626 0,103.75145 1.39634 0,103.75133 1.39639 0,103.75119 1.39641 0,103.75101 1.39641 0),(103.75101 1.39641 0,103.75075 1.39639 0),(103.75075 1.39639 0,103.75044 1.39635 0,103.75024 1.39633 0),(103.75024 1.39633 0,103.7502 1.39632 0),(103.7502 1.39632 0,103.75015 1.39631 0),(103.75015 1.39631 0,103.74973 1.39627 0,103.74927 1.39622 0,103.74889 1.3962 0),(103.74889 1.3962 0,103.74873 1.3962 0),(103.74873 1.3962 0,103.74845 1.39621 0,103.74824 1.39623 0,103.74797 1.39626 0),(103.74797 1.39626 0,103.74782 1.39628 0,103.74765 1.39631 0),(103.74765 1.39631 0,103.74761 1.39632 0),(103.74761 1.39632 0,103.7475 1.39634 0),(103.7475 1.39634 0,103.74742 1.39636 0),(103.74742 1.39636 0,103.74729 1.39639 0),(103.74729 1.39639 0,103.74723 1.3964 0))"
881,575,Choa Chu Kang Way,0.50023,"MULTILINESTRING ((103.74723 1.3964 0,103.74701 1.39645 0),(103.74701 1.39645 0,103.74679 1.3965 0),(103.74679 1.3965 0,103.74662 1.39654 0),(103.74662 1.39654 0,103.74632 1.3966 0),(103.74632 1.3966 0,103.74624 1.39661 0,103.74609 1.39663 0),(103.74609 1.39663 0,103.74592 1.39665 0),(103.74592 1.39665 0,103.74572 1.39666 0,103.74549 1.39666 0),(103.74549 1.39666 0,103.74509 1.39664 0),(103.74509 1.39664 0,103.74456 1.39662 0),(103.74456 1.39662 0,103.74416 1.39662 0),(103.74416 1.39662 0,103.74391 1.39664 0),(103.74391 1.39664 0,103.74355 1.39668 0,103.74325 1.39672 0),(103.74325 1.39672 0,103.74309 1.39674 0),(103.74309 1.39674 0,103.74287 1.39677 0),(103.74287 1.39677 0,103.74277 1.39678 0))"
882,571,Choa Chu Kang Way,0.02585,"MULTILINESTRING ((103.74133 1.39335 0,103.74137 1.39333 0),(103.74137 1.39333 0,103.74154 1.39325 0))"
883,572,Choa Chu Kang Dr,0.42404,"MULTILINESTRING ((103.74154 1.39325 0,103.74187 1.39312 0),(103.74187 1.39312 0,103.74215 1.39301 0),(103.74215 1.39301 0,103.74233 1.39294 0,103.74252 1.39287 0,103.74271 1.39281 0),(103.74271 1.39281 0,103.74275 1.3928 0),(103.74275 1.3928 0,103.743 1.39273 0,103.74324 1.39267 0),(103.74324 1.39267 0,103.74328 1.39266 0,103.74351 1.39261 0),(103.74351 1.39261 0,103.7436 1.39259 0,103.74373 1.39256 0),(103.74373 1.39256 0,103.74388 1.39252 0),(103.74388 1.39252 0,103.74443 1.39239 0),(103.74443 1.39239 0,103.74462 1.39234 0),(103.74462 1.39234 0,103.74483 1.39229 0,103.74496 1.39226 0),(103.74496 1.39226 0,103.7451 1.39223 0),(103.7451 1.39223 0,103.7452 1.39221 0))"
884,573,Verde Walk,0.68901,"MULTILINESTRING ((103.7452 1.39221 0,103.74528 1.39219 0),(103.74528 1.39219 0,103.74563 1.39212 0),(103.74563 1.39212 0,103.74584 1.39208 0),(103.74584 1.39208 0,103.74612 1.39202 0),(103.74612 1.39202 0,103.74629 1.39199 0,103.74648 1.39196 0,103.7465 1.39196 0),(103.7465 1.39196 0,103.74666 1.39194 0,103.74685 1.39194 0,103.74694 1.39194 0),(103.74694 1.39194 0,103.74705 1.39195 0,103.74723 1.39197 0),(103.74723 1.39197 0,103.74829 1.39209 0),(103.74829 1.39209 0,103.74859 1.39212 0,103.74896 1.39217 0,103.74919 1.39221 0,103.74939 1.39226 0,103.74955 1.39231 0),(103.74955 1.39231 0,103.74957 1.39232 0),(103.74957 1.39232 0,103.74975 1.39239 0),(103.74975 1.39239 0,103.74997 1.39248 0,103.75017 1.39255 0,103.75046 1.39264 0),(103.75046 1.39264 0,103.7505 1.39265 0,103.7506 1.39267 0),(103.7506 1.39267 0,103.75079 1.3927 0),(103.75079 1.3927 0,103.751 1.39272 0),(103.751 1.39272 0,103.75116 1.39274 0),(103.75116 1.39274 0,103.75127 1.39275 0))"
885,4805,Choa Chu Kang Link,0.23179,"MULTILINESTRING ((103.75127 1.39275 0,103.75141 1.39277 0,103.75152 1.39279 0),(103.75152 1.39279 0,103.75161 1.39282 0),(103.75161 1.39282 0,103.75171 1.39287 0,103.7518 1.39293 0,103.75191 1.39303 0,103.752 1.39314 0),(103.752 1.39314 0,103.75206 1.39325 0,103.7521 1.39335 0),(103.7521 1.39335 0,103.75212 1.39346 0,103.75213 1.39363 0,103.75212 1.39379 0),(103.75212 1.39379 0,103.7521 1.39393 0,103.75209 1.39401 0),(103.75209 1.39401 0,103.75208 1.39407 0,103.75205 1.39419 0),(103.75205 1.39419 0,103.75205 1.39421 0),(103.75205 1.39421 0,103.75203 1.39434 0))"
886,562,Choa Chu Kang Cres,0.04239,"MULTILINESTRING ((103.74933 1.40298 0,103.74924 1.40269 0))"
887,563,Choa Chu Kang North 7,0.25084,"MULTILINESTRING ((103.74924 1.40269 0,103.74866 1.40055 0),(103.74866 1.40055 0,103.74864 1.40048 0))"
888,564,Choa Chu Kang North 6,0.49289,"MULTILINESTRING ((103.74864 1.40048 0,103.74819 1.39881 0),(103.74819 1.39881 0,103.7481 1.39849 0),(103.7481 1.39849 0,103.74791 1.39776 0),(103.74791 1.39776 0,103.74781 1.3974 0),(103.74781 1.3974 0,103.74772 1.39707 0),(103.74772 1.39707 0,103.7475 1.39634 0),(103.7475 1.39634 0,103.74744 1.3962 0))"
889,565,Choa Chu Kang North 5,0.50952,"MULTILINESTRING ((103.74744 1.3962 0,103.7474 1.3961 0,103.74735 1.39598 0,103.74727 1.3958 0),(103.74727 1.3958 0,103.74717 1.39558 0,103.74709 1.39541 0,103.74696 1.39516 0),(103.74696 1.39516 0,103.74668 1.39466 0),(103.74668 1.39466 0,103.74656 1.39446 0,103.7464 1.39421 0,103.74622 1.39396 0,103.74603 1.3937 0,103.74584 1.39344 0,103.74567 1.39321 0,103.74557 1.39307 0,103.74548 1.39293 0,103.74541 1.3928 0,103.74536 1.3927 0),(103.74536 1.3927 0,103.74535 1.39267 0,103.7453 1.39253 0,103.74525 1.39237 0,103.74523 1.3923 0),(103.74523 1.3923 0,103.7452 1.39221 0))"
890,566,KJE/Kranji Expy,0.41094,"MULTILINESTRING ((103.7452 1.39221 0,103.74518 1.39217 0),(103.74518 1.39217 0,103.74517 1.39212 0),(103.74517 1.39212 0,103.74514 1.39199 0,103.74511 1.39183 0,103.74509 1.39166 0),(103.74509 1.39166 0,103.74509 1.39149 0,103.74511 1.39127 0,103.74514 1.3911 0,103.74519 1.39091 0,103.74524 1.39075 0),(103.74524 1.39075 0,103.7453 1.39056 0),(103.7453 1.39056 0,103.74543 1.39016 0),(103.74543 1.39016 0,103.74551 1.38991 0),(103.74551 1.38991 0,103.74554 1.38982 0),(103.74554 1.38982 0,103.74568 1.38942 0),(103.74568 1.38942 0,103.74573 1.38927 0),(103.74573 1.38927 0,103.74579 1.38907 0,103.74584 1.3889 0),(103.74584 1.3889 0,103.74587 1.38879 0,103.74591 1.38863 0))"
891,567,Choa Chu Kang Ave 4,0.41254,"MULTILINESTRING ((103.74591 1.38863 0,103.74594 1.38849 0,103.74598 1.38829 0),(103.74598 1.38829 0,103.74604 1.38798 0,103.74609 1.38768 0),(103.74609 1.38768 0,103.74612 1.3875 0,103.74615 1.38732 0,103.74617 1.38713 0,103.74618 1.38695 0),(103.74618 1.38695 0,103.74619 1.3867 0,103.74619 1.38653 0),(103.74619 1.38653 0,103.74619 1.38647 0),(103.74619 1.38647 0,103.74618 1.38585 0),(103.74618 1.38585 0,103.74618 1.38577 0,103.74618 1.38568 0,103.74619 1.38559 0,103.7462 1.38553 0,103.74621 1.38548 0),(103.74621 1.38548 0,103.74623 1.38541 0),(103.74623 1.38541 0,103.74632 1.38515 0),(103.74632 1.38515 0,103.74636 1.38505 0,103.74639 1.38498 0),(103.74639 1.38498 0,103.7464 1.38496 0))"
892,568,Choa Chu Kang Ave 3,0.15654,"MULTILINESTRING ((103.7464 1.38496 0,103.74644 1.38488 0),(103.74644 1.38488 0,103.74653 1.38473 0,103.74675 1.38439 0),(103.74675 1.38439 0,103.74688 1.38418 0),(103.74688 1.38418 0,103.74699 1.38401 0),(103.74699 1.38401 0,103.74702 1.38396 0),(103.74702 1.38396 0,103.74716 1.38377 0))"
893,569,Choa Chu Kang Ave 1,0.38239,"MULTILINESTRING ((103.74716 1.38377 0,103.74727 1.38363 0),(103.74727 1.38363 0,103.74733 1.38356 0,103.74738 1.38351 0,103.74744 1.38347 0),(103.74744 1.38347 0,103.74756 1.3834 0,103.74766 1.38335 0,103.74777 1.3833 0,103.7479 1.38324 0),(103.7479 1.38324 0,103.74826 1.38307 0),(103.74826 1.38307 0,103.74837 1.38302 0),(103.74837 1.38302 0,103.74919 1.38264 0),(103.74919 1.38264 0,103.7496 1.38247 0),(103.7496 1.38247 0,103.74975 1.3824 0),(103.74975 1.3824 0,103.74985 1.38235 0,103.74998 1.38229 0),(103.74998 1.38229 0,103.75013 1.38223 0),(103.75013 1.38223 0,103.75017 1.38221 0))"
894,575,Choa Chu Kang Way,0.03589,"MULTILINESTRING ((103.74277 1.39678 0,103.74287 1.39677 0),(103.74287 1.39677 0,103.74309 1.39674 0))"
895,576,Choa Chu Kang Dr,0.51213,"MULTILINESTRING ((103.74309 1.39674 0,103.74325 1.39672 0),(103.74325 1.39672 0,103.74355 1.39668 0,103.74391 1.39664 0),(103.74391 1.39664 0,103.74416 1.39662 0),(103.74416 1.39662 0,103.74456 1.39662 0),(103.74456 1.39662 0,103.74509 1.39664 0),(103.74509 1.39664 0,103.74549 1.39666 0),(103.74549 1.39666 0,103.74572 1.39666 0,103.74592 1.39665 0),(103.74592 1.39665 0,103.74609 1.39663 0),(103.74609 1.39663 0,103.74624 1.39661 0,103.74632 1.3966 0),(103.74632 1.3966 0,103.74662 1.39654 0),(103.74662 1.39654 0,103.74679 1.3965 0),(103.74679 1.3965 0,103.74701 1.39645 0),(103.74701 1.39645 0,103.74723 1.3964 0),(103.74723 1.3964 0,103.74729 1.39639 0),(103.74729 1.39639 0,103.74742 1.39636 0),(103.74742 1.39636 0,103.7475 1.39634 0),(103.7475 1.39634 0,103.74761 1.39632 0),(103.74761 1.39632 0,103.74765 1.39631 0))"
896,577,Choa Chu Kang Link,0.66227,"MULTILINESTRING ((103.74765 1.39631 0,103.74782 1.39628 0,103.74797 1.39626 0),(103.74797 1.39626 0,103.74824 1.39623 0,103.74845 1.39621 0,103.74873 1.3962 0),(103.74873 1.3962 0,103.74889 1.3962 0),(103.74889 1.3962 0,103.74927 1.39622 0,103.74973 1.39627 0,103.75015 1.39631 0),(103.75015 1.39631 0,103.7502 1.39632 0),(103.7502 1.39632 0,103.75024 1.39633 0),(103.75024 1.39633 0,103.75044 1.39635 0,103.75075 1.39639 0),(103.75075 1.39639 0,103.75101 1.39641 0),(103.75101 1.39641 0,103.75119 1.39641 0,103.75133 1.39639 0,103.75145 1.39634 0,103.75155 1.39626 0,103.75164 1.39616 0,103.75169 1.39607 0),(103.75169 1.39607 0,103.75175 1.39593 0,103.75178 1.3958 0),(103.75178 1.3958 0,103.7518 1.39568 0),(103.7518 1.39568 0,103.75182 1.39557 0),(103.75182 1.39557 0,103.75186 1.39528 0),(103.75186 1.39528 0,103.75191 1.39502 0),(103.75191 1.39502 0,103.75196 1.39473 0),(103.75196 1.39473 0,103.75202 1.39438 0),(103.75202 1.39438 0,103.75203 1.39434 0))"
897,582,Choa Chu Kang Cres (East),0.02934,"MULTILINESTRING ((103.75068 1.39962 0,103.7506 1.39962 0,103.75037 1.39971 0))"
898,581,Choa Chu Kang Dr,0.21957,"MULTILINESTRING ((103.75037 1.39971 0,103.74952 1.40013 0),(103.74952 1.40013 0,103.74933 1.40022 0),(103.74933 1.40022 0,103.74912 1.40031 0,103.74883 1.40042 0,103.74864 1.40048 0),(103.74864 1.40048 0,103.74856 1.4005 0))"
899,580,Choa Chu Kang Cres (West),0.33154,"MULTILINESTRING ((103.74856 1.4005 0,103.74838 1.40054 0),(103.74838 1.40054 0,103.74823 1.40058 0,103.74803 1.40062 0),(103.74803 1.40062 0,103.74676 1.40084 0),(103.74676 1.40084 0,103.7459 1.40101 0),(103.7459 1.40101 0,103.7457 1.40104 0))"
900,579,Choa Chu Kang Way,0.25906,"MULTILINESTRING ((103.7457 1.40104 0,103.74521 1.40113 0,103.74483 1.40121 0,103.74437 1.40129 0),(103.74437 1.40129 0,103.74407 1.40135 0),(103.74407 1.40135 0,103.74377 1.40139 0),(103.74377 1.40139 0,103.74353 1.40143 0),(103.74353 1.40143 0,103.7434 1.40145 0))"
901,579,Choa Chu Kang Way,0.01463,"MULTILINESTRING ((103.74342 1.40155 0,103.74355 1.40152 0),(103.74355 1.40152 0,103.74378 1.40149 0))"
902,580,Choa Chu Kang Cres (West),0.24442,"MULTILINESTRING ((103.74378 1.40149 0,103.74413 1.40143 0),(103.74413 1.40143 0,103.74444 1.40137 0),(103.74444 1.40137 0,103.74561 1.40112 0),(103.74561 1.40112 0,103.74571 1.4011 0))"
903,581,Choa Chu Kang Dr,0.33154,"MULTILINESTRING ((103.74571 1.4011 0,103.74591 1.40106 0),(103.74591 1.40106 0,103.74677 1.4009 0),(103.74677 1.4009 0,103.74803 1.4007 0),(103.74803 1.4007 0,103.74825 1.40066 0,103.74843 1.40061 0),(103.74843 1.40061 0,103.74858 1.40057 0),(103.74858 1.40057 0,103.74866 1.40055 0))"
904,582,Choa Chu Kang Cres (East),0.24892,"MULTILINESTRING ((103.74866 1.40055 0,103.74898 1.40044 0),(103.74898 1.40044 0,103.74925 1.40032 0,103.74956 1.40018 0),(103.74956 1.40018 0,103.75043 1.39976 0),(103.75043 1.39976 0,103.75062 1.39968 0,103.75068 1.39962 0))"
905,584,Woodlands Rd/Upp Bukit Timah Rd,0.05916,"MULTILINESTRING ((103.76147 1.37971 0,103.76134 1.37965 0,103.76126 1.37961 0),(103.76126 1.37961 0,103.76116 1.37956 0),(103.76116 1.37956 0,103.76099 1.37948 0))"
906,585,Teck Whye Ave,0.57341,"MULTILINESTRING ((103.76099 1.37948 0,103.76078 1.37938 0),(103.76078 1.37938 0,103.76041 1.37921 0),(103.76041 1.37921 0,103.76032 1.37917 0,103.76023 1.37913 0),(103.76023 1.37913 0,103.7601 1.37907 0,103.75989 1.37899 0,103.75966 1.37891 0,103.75944 1.37883 0,103.75913 1.37871 0),(103.75913 1.37871 0,103.75882 1.37858 0),(103.75882 1.37858 0,103.75824 1.37832 0),(103.75824 1.37832 0,103.75806 1.37824 0),(103.75806 1.37824 0,103.75788 1.37816 0),(103.75788 1.37816 0,103.75757 1.37802 0),(103.75757 1.37802 0,103.75753 1.378 0),(103.75753 1.378 0,103.75737 1.37793 0),(103.75737 1.37793 0,103.75725 1.37787 0,103.7572 1.37784 0),(103.7572 1.37784 0,103.75714 1.37781 0,103.75701 1.37774 0),(103.75701 1.37774 0,103.7565 1.37744 0,103.75637 1.37736 0),(103.75637 1.37736 0,103.75629 1.37732 0))"
907,586,Choa Chu Kang Way,0.30145,"MULTILINESTRING ((103.75629 1.37732 0,103.75618 1.37726 0,103.75604 1.37719 0),(103.75604 1.37719 0,103.75593 1.37714 0),(103.75593 1.37714 0,103.75579 1.37708 0,103.75561 1.37701 0,103.75541 1.37694 0,103.75515 1.37686 0),(103.75515 1.37686 0,103.75478 1.37675 0),(103.75478 1.37675 0,103.75469 1.37672 0,103.75459 1.37668 0,103.7545 1.37664 0,103.7544 1.37659 0,103.75431 1.37654 0,103.75419 1.37646 0),(103.75419 1.37646 0,103.75411 1.3764 0,103.75405 1.37635 0,103.75399 1.37629 0),(103.75399 1.37629 0,103.75396 1.37627 0),(103.75396 1.37627 0,103.75388 1.37619 0))"
908,586,Choa Chu Kang Way,0.07073,"MULTILINESTRING ((103.75349 1.37597 0,103.7536 1.3761 0,103.75374 1.37626 0),(103.75374 1.37626 0,103.75381 1.37634 0),(103.75381 1.37634 0,103.75392 1.37644 0))"
909,585,Teck Whye Ave,0.28602,"MULTILINESTRING ((103.75392 1.37644 0,103.75409 1.37657 0,103.75425 1.37667 0,103.75441 1.37675 0,103.75457 1.37681 0,103.75477 1.37687 0),(103.75477 1.37687 0,103.75512 1.37696 0),(103.75512 1.37696 0,103.75533 1.37702 0,103.75554 1.37709 0,103.75571 1.37716 0,103.75589 1.37724 0),(103.75589 1.37724 0,103.75603 1.37731 0),(103.75603 1.37731 0,103.75613 1.37736 0,103.75622 1.37741 0),(103.75622 1.37741 0,103.75624 1.37742 0))"
910,584,Woodlands Rd/Upp Bukit Timah Rd,0.63186,"MULTILINESTRING ((103.75624 1.37742 0,103.75631 1.37746 0),(103.75631 1.37746 0,103.75696 1.37784 0),(103.75696 1.37784 0,103.75728 1.37803 0),(103.75728 1.37803 0,103.75745 1.37813 0),(103.75745 1.37813 0,103.75749 1.37815 0),(103.75749 1.37815 0,103.7577 1.37826 0),(103.7577 1.37826 0,103.75787 1.37834 0),(103.75787 1.37834 0,103.75801 1.3784 0,103.75816 1.37846 0),(103.75816 1.37846 0,103.75837 1.37854 0),(103.75837 1.37854 0,103.75868 1.37866 0),(103.75868 1.37866 0,103.75909 1.37882 0),(103.75909 1.37882 0,103.75938 1.37893 0,103.75946 1.37896 0),(103.75946 1.37896 0,103.75972 1.37907 0),(103.75972 1.37907 0,103.76004 1.37919 0,103.76011 1.37922 0,103.76015 1.37924 0),(103.76015 1.37924 0,103.76019 1.37926 0,103.76026 1.37929 0),(103.76026 1.37929 0,103.76059 1.37945 0),(103.76059 1.37945 0,103.76081 1.37956 0),(103.76081 1.37956 0,103.76106 1.37968 0),(103.76106 1.37968 0,103.76109 1.3797 0),(103.76109 1.3797 0,103.76119 1.37974 0),(103.76119 1.37974 0,103.76127 1.37978 0),(103.76127 1.37978 0,103.76141 1.37984 0))"
911,604,Payar Lebar Rd,0.0277,"MULTILINESTRING ((103.8897 1.32709 0,103.88969 1.32705 0),(103.88969 1.32705 0,103.88966 1.32702 0,103.88962 1.32701 0,103.88958 1.32702 0,103.88955 1.32705 0,103.88954 1.32709 0))"
912,603,Lor Bengkok,0.15315,"MULTILINESTRING ((103.88954 1.32709 0,103.88945 1.32707 0),(103.88945 1.32707 0,103.88927 1.32702 0),(103.88927 1.32702 0,103.88921 1.327 0,103.8889 1.32688 0),(103.8889 1.32688 0,103.88888 1.32687 0),(103.88888 1.32687 0,103.8885 1.32673 0),(103.8885 1.32673 0,103.88824 1.32664 0))"
913,599,China St,0.03982,"MULTILINESTRING ((103.84848 1.28474 0,103.84879 1.28456 0))"
914,600,Cecil St,0.2733,"MULTILINESTRING ((103.84879 1.28456 0,103.84891 1.28449 0,103.849 1.28443 0,103.84908 1.28437 0,103.84918 1.28429 0),(103.84918 1.28429 0,103.84931 1.28417 0,103.84946 1.28403 0),(103.84946 1.28403 0,103.84955 1.28392 0,103.84958 1.28388 0),(103.84958 1.28388 0,103.84965 1.28379 0,103.8498 1.28357 0,103.84993 1.28334 0,103.84998 1.28324 0),(103.84998 1.28324 0,103.85007 1.28308 0,103.85014 1.28297 0,103.8502 1.28288 0,103.85026 1.28281 0,103.8503 1.28278 0),(103.8503 1.28278 0,103.85034 1.28275 0,103.85038 1.28273 0))"
915,603,Lor Bengkok,0.07811,"MULTILINESTRING ((103.88824 1.32664 0,103.8885 1.32673 0),(103.8885 1.32673 0,103.88888 1.32687 0),(103.88888 1.32687 0,103.8889 1.32688 0))"
916,604,Payar Lebar Rd,0.10274,"MULTILINESTRING ((103.8889 1.32688 0,103.88921 1.327 0,103.88927 1.32702 0),(103.88927 1.32702 0,103.88945 1.32707 0),(103.88945 1.32707 0,103.88954 1.32709 0),(103.88954 1.32709 0,103.88955 1.32713 0,103.88958 1.32716 0,103.88962 1.32717 0,103.88966 1.32716 0,103.88969 1.32713 0,103.8897 1.32709 0))"
917,606,Paya Lebar Way,0.04619,"MULTILINESTRING ((103.88504 1.32322 0,103.88507 1.32328 0,103.88505 1.32363 0))"
918,607,Pipit Rd West,0.03885,"MULTILINESTRING ((103.88505 1.32363 0,103.88503 1.32381 0),(103.88503 1.32381 0,103.88502 1.32398 0))"
919,608,Merpati Rd,0.38589,"MULTILINESTRING ((103.88502 1.32398 0,103.88499 1.32433 0),(103.88499 1.32433 0,103.88499 1.32451 0,103.88501 1.32469 0,103.88502 1.3248 0),(103.88502 1.3248 0,103.88516 1.32564 0),(103.88516 1.32564 0,103.88518 1.32578 0,103.88524 1.3262 0),(103.88524 1.3262 0,103.88531 1.32682 0),(103.88531 1.32682 0,103.88532 1.32692 0),(103.88532 1.32692 0,103.88534 1.32702 0),(103.88534 1.32702 0,103.88537 1.32728 0),(103.88537 1.32728 0,103.88539 1.32744 0))"
920,609,Lor Bengkok,0.56239,"MULTILINESTRING ((103.88539 1.32744 0,103.88544 1.32765 0),(103.88544 1.32765 0,103.88553 1.32815 0),(103.88553 1.32815 0,103.8856 1.32834 0,103.88565 1.32847 0,103.88572 1.32859 0,103.88579 1.32868 0),(103.88579 1.32868 0,103.88593 1.3288 0,103.88612 1.3289 0,103.88628 1.32895 0,103.88643 1.32896 0),(103.88643 1.32896 0,103.88646 1.32896 0),(103.88646 1.32896 0,103.88654 1.32895 0,103.88671 1.32889 0),(103.88671 1.32889 0,103.88687 1.32879 0,103.88702 1.32866 0,103.88716 1.32843 0),(103.88716 1.32843 0,103.88725 1.32827 0),(103.88725 1.32827 0,103.88747 1.32789 0),(103.88747 1.32789 0,103.88749 1.32786 0),(103.88749 1.32786 0,103.88788 1.32724 0),(103.88788 1.32724 0,103.88807 1.32691 0),(103.88807 1.32691 0,103.88815 1.32678 0),(103.88815 1.32678 0,103.88824 1.32664 0))"
921,610,Pipit Rd,0.36319,"MULTILINESTRING ((103.88824 1.32664 0,103.8883 1.32652 0),(103.8883 1.32652 0,103.88836 1.32638 0,103.88843 1.32617 0),(103.88843 1.32617 0,103.88852 1.32591 0),(103.88852 1.32591 0,103.88853 1.32588 0),(103.88853 1.32588 0,103.88855 1.32583 0,103.88857 1.32578 0),(103.88857 1.32578 0,103.88863 1.32565 0),(103.88863 1.32565 0,103.88866 1.32554 0,103.88867 1.32515 0),(103.88867 1.32515 0,103.88874 1.32467 0),(103.88874 1.32467 0,103.88882 1.32434 0),(103.88882 1.32434 0,103.8889 1.32401 0),(103.8889 1.32401 0,103.88892 1.32387 0),(103.88892 1.32387 0,103.88894 1.32379 0),(103.88894 1.32379 0,103.889 1.32347 0))"
922,597,Choa Chu Kang Rd/Bukit Batok Rd,0.04029,"MULTILINESTRING ((103.75374 1.37626 0,103.75341 1.37641 0))"
923,596,Choa Chu Kang Ave 1,0.58663,"MULTILINESTRING ((103.75341 1.37641 0,103.75244 1.37684 0),(103.75244 1.37684 0,103.75215 1.37697 0),(103.75215 1.37697 0,103.75189 1.37708 0),(103.75189 1.37708 0,103.75176 1.37714 0),(103.75176 1.37714 0,103.7505 1.37771 0),(103.7505 1.37771 0,103.75013 1.37788 0),(103.75013 1.37788 0,103.75003 1.37793 0),(103.75003 1.37793 0,103.74936 1.37823 0),(103.74936 1.37823 0,103.74907 1.37837 0),(103.74907 1.37837 0,103.74882 1.37848 0),(103.74882 1.37848 0,103.7486 1.37858 0))"
924,595,Choa Chu Kang Ave 2,0.42892,"MULTILINESTRING ((103.7486 1.37858 0,103.74838 1.37868 0),(103.74838 1.37868 0,103.74724 1.3792 0),(103.74724 1.3792 0,103.74508 1.38016 0))"
925,594,Choa Chu Kang Ave 3,0.25159,"MULTILINESTRING ((103.74508 1.38016 0,103.74477 1.3803 0,103.74459 1.38038 0,103.7444 1.38047 0,103.74426 1.38055 0,103.74411 1.38064 0),(103.74411 1.38064 0,103.74398 1.38073 0,103.7439 1.38079 0,103.74381 1.38087 0),(103.74381 1.38087 0,103.74369 1.38098 0),(103.74369 1.38098 0,103.7436 1.38108 0,103.74351 1.38118 0,103.74344 1.38127 0),(103.74344 1.38127 0,103.74334 1.38141 0),(103.74334 1.38141 0,103.74329 1.38148 0))"
