NID,PC,DE,LE,TY,FF
98,168,E5/Londra Asfaltı Caddesi,0.15825,TR,26.4
99,174,Sinan Sokak,0.01169,TR,26.0
100,173,Ersin Sokak/Şehit Yzb. Teyyareci Ahmet Cemal Sokak,0.21767,TR,26.9
101,170,Fatih 1. Caddesi,0.02109,TR,40.0
102,171,Akduman Sokak,0.1224,TR,36.8
103,173,Ersin Sokak/Şehit Yzb. Teyyareci Ahmet Cemal Sokak,0.04542,TR,30.0
104,174,Sinan Sokak,0.18393,TR,27.7
105,177,Mustafa Kemal Bulvarı,0.05143,TR,20.0
106,176,Akduman Sokak,0.29427,TR,27.6
107,176,Akduman Sokak,0.05042,TR,27.0
108,177,Mustafa Kemal Bulvarı,0.28257,TR,25.1
109,183,Mustafa Kemal Bulvarı,0.03154,TR,25.0
110,182,Şehit Yzb. Teyyareci Ahmet Cemal Sokak,0.2529,TR,27.9
111,179,Çarmıklı Caddesi,0.03204,TR,25.0
112,180,Akduman Sokak,0.41299,TR,29.0
113,180,Akduman Sokak,0.01612,TR,36.0
114,179,Çarmıklı Caddesi,0.4289,TR,26.9
115,182,Şehit Yzb. Teyyareci Ahmet Cemal Sokak,0.04561,TR,26.0
116,183,Mustafa Kemal Bulvarı,0.23883,TR,25.1
117,185,Kayıkhane Sokak,0.02338,TR,28.4
118,186,Yurt Sokak,0.10329,TR,25.9
119,191,Enverpaşa Caddesi,0.04788,TR,30.0
120,192,Yurt Sokak,0.07131,TR,43.3
121,188,Kumsallar Sokak,0.05522,TR,29.0
122,189,Nutuk Caddesi,0.18875,TR,37.2
123,186,Yurt Sokak,0.01965,TR,31.0
124,185,Kayıkhane Sokak,0.10702,TR,24.9
125,194,E5,0.03388,TR,13.3
126,197,Enverpaşa Caddesi,0.04037,TR,18.0
127,198,Fevzi Çakmak 1. Caddesi,0.13694,TR,20.7
128,194,E5,0.02271,TR,14.0
129,195,Enverpaşa Caddesi,0.05601,TR,26.7
130,200,Mektep Caddesi,0.01466,TR,20.0
131,201,Yenimahalle Sokak/Mimar Sinan Caddesi,0.05886,TR,18.0
132,205,Yörük Ali Efe Sokak,0.05878,TR,18.0
133,207,Mimar Sinan Caddesi,0.0159,TR,24.0
134,208,Yenimahalle Sokak,0.04106,TR,24.3
135,203,Mimar Sinan Caddesi,0.01009,TR,21.0
136,204,Değirmen 1 Sokak,0.0615,TR,22.6
137,205,Yörük Ali Efe Sokak,0.14592,TR,22.9
138,211,Gölboyu Caddesi,0.06677,TR,27.7
139,210,Pazar Caddesi,0.11064,TR,27.2
140,217,Gölboyu Caddesi,0.04077,TR,42.0
141,218,Behçet Kemal Çağlar Caddesi/Fulya Sokak,0.23615,TR,36.9
142,215,Izmir Caddesi,0.05882,TR,26.3
143,214,Adnan Kahveci Caddesi,0.42992,TR,25.2
144,213,E5/Riza Küçükoğlupaşa Caddesi,0.05977,TR,22.0
145,214,Adnan Kahveci Caddesi,0.16241,TR,25.0
146,215,Izmir Caddesi,0.48875,TR,26.1
147,224,Hilal Caddesi,0.01934,TR,23.0
148,223,Osmangazi Caddesi,0.05586,TR,23.7
149,221,İstanbul 1. Caddesi/Şehit Serdar Erdal Sokak/Adnan Kahveci Caddesi,0.04172,TR,27.6
150,220,E5/Mehmetçik Sokak,0.12489,TR,22.8
151,220,E5/Mehmetçik Sokak,0.07753,TR,47.0
152,221,İstanbul 1. Caddesi/Şehit Serdar Erdal Sokak/Adnan Kahveci Caddesi,0.45332,TR,27.7
153,223,Osmangazi Caddesi,0.02169,TR,23.0
154,224,Hilal Caddesi,0.0535,TR,21.4
155,226,Gazi Mustafa Caddesi,0.05471,TR,24.0
156,227,Umut Reis Caddesi,0.12731,TR,27.4
157,228,Cengiz Topel Cadde,0.10812,TR,22.6
158,230,Turgut Özal Bulvarı/Gazi Mustafa Caddesi,0.02014,TR,30.0
159,231,Cengiz Topel Cadde,0.20442,TR,23.7
160,234,Çanakkale Şehitleri Caddesi/Dilek Sokak/Halide Edip Adıvar Sokak,0.02343,TR,31.7
161,233,Cengiz Topel Cadde,0.20108,TR,17.8
162,233,Cengiz Topel Cadde,0.04105,TR,19.0
163,234,Çanakkale Şehitleri Caddesi/Dilek Sokak/Halide Edip Adıvar Sokak,0.18615,TR,17.5
164,237,Halide Edip Adıvar Sokak/Yahya Çavuş Sokak/Dilek Sokak,0.025,TR,33.0
165,236,Adnan Kahveci Caddesi,0.42158,TR,25.6
166,240,Boğaziçi Caddesi,0.0507,TR,20.0
167,239,Dilek Sokak/Yahya Çavuş Sokak/Çanakkale Şehitleri Caddesi,0.27262,TR,21.4
168,236,Adnan Kahveci Caddesi,0.06037,TR,21.0
169,237,Halide Edip Adıvar Sokak/Yahya Çavuş Sokak/Dilek Sokak,0.39052,TR,24.8
170,239,Dilek Sokak/Yahya Çavuş Sokak/Çanakkale Şehitleri Caddesi,0.01916,TR,33.0
171,240,Boğaziçi Caddesi,0.29292,TR,22.0
172,245,Yanyol Caddesi,0.06393,TR,19.8
173,244,Begonya 1 Sokak,1.39316,TR,38.4
174,243,Halide Edip Adıvar Sokak,0.15459,TR,46.3
175,242,E5,0.32288,TR,40.5
176,242,E5,0.01895,TR,21.0
177,243,Halide Edip Adıvar Sokak,0.30392,TR,45.6
178,244,Begonya 1 Sokak,0.15459,TR,46.4
179,245,Yanyol Caddesi,1.45709,TR,41.8
180,247,Behçet Kemal Çağlar Caddesi,0.04452,TR,30.0
181,248,E5/Hilal Caddesi,1.11345,TR,20.9
182,248,E5/Hilal Caddesi,0.0159,TR,50.0
183,247,Behçet Kemal Çağlar Caddesi,1.13767,TR,30.1
184,254,Çanakkale Şehitleri Caddesi,0.03451,TR,21.0
185,253,Cengiz Topel Cadde,0.12842,TR,20.6
186,253,Cengiz Topel Cadde,0.04691,TR,21.0
187,254,Çanakkale Şehitleri Caddesi,0.11602,TR,23.1
188,257,Halide Edip Adıvar Sokak/Yahya Çavuş Sokak/Dilek Sokak,0.02455,TR,31.8
189,256,Hamza Pinar Caddesi/Cevher Sokak,0.21301,TR,27.9
190,256,Hamza Pinar Caddesi/Cevher Sokak,0.03232,TR,27.0
191,257,Halide Edip Adıvar Sokak/Yahya Çavuş Sokak/Dilek Sokak,0.20569,TR,29.1
192,260,Boğaziçi Caddesi,0.0466,TR,28.0
193,259,Çanakkale Şehitleri Caddesi,0.40784,TR,25.6
194,250,Fulya Sokak/Hilal Caddesi,0.04572,TR,33.0
195,251,Demet Caddesi,0.26421,TR,45.8
196,13250,Eskice Karaağaç Yolu Caddesi,1.95642,TR,73.2
197,13251,Memleket Caddesi,2.10619,TR,53.6
198,13252,O-3B15/Hadimköy Yolu Caddesi,0.60464,TR,28.7
199,13252,O-3B15/Hadimköy Yolu Caddesi,0.05643,TR,27.1
200,13251,Memleket Caddesi,0.54463,TR,29.1
201,13250,Eskice Karaağaç Yolu Caddesi,2.10619,TR,55.6
202,251,Demet Caddesi,1.98251,TR,48.1
203,250,Fulya Sokak/Hilal Caddesi,0.2842,TR,46.4
204,263,Sevinç Sokak/Selen Sokak,0.059,TR,32.7
205,262,Atatürk Caddesi/Gazi Mustafa Caddesi,0.16498,TR,30.0
206,259,Çanakkale Şehitleri Caddesi,0.04736,TR,26.0
207,260,Boğaziçi Caddesi,0.40708,TR,26.6
208,266,Sakin Sokak,0.02355,TR,30.0
209,265,Sevinç Sokak/Selen Sokak,0.39385,TR,26.9
210,262,Atatürk Caddesi/Gazi Mustafa Caddesi,0.02503,TR,28.3
211,263,Sevinç Sokak/Selen Sokak,0.19845,TR,31.6
212,268,Sedef Sokak,0.01887,TR,25.0
213,269,Parmaksız Caddesi,0.07886,TR,24.7
214,269,Parmaksız Caddesi,0.02333,TR,23.0
215,268,Sedef Sokak,0.0744,TR,26.0
216,265,Sevinç Sokak/Selen Sokak,0.02454,TR,30.0
217,266,Sakin Sokak,0.39286,TR,24.0
218,272,Aras Sokak,0.04167,TR,25.0
219,271,Turgut Özal Bulvarı,0.69337,TR,29.0
220,271,Turgut Özal Bulvarı,0.03365,TR,33.0
221,272,Aras Sokak,0.70138,TR,28.7
222,276,Yıldıray Çınar Sokak/Yanyol Caddesi,0.02595,TR,17.0
223,275,Özlem Caddesi,0.07557,TR,27.0
224,274,Yanyol Caddesi,0.23475,TR,27.6
225,274,Yanyol Caddesi,0.02101,TR,50.0
226,275,Özlem Caddesi,0.21373,TR,27.6
227,276,Yıldıray Çınar Sokak/Yanyol Caddesi,0.10153,TR,21.1
228,279,Yanyol Caddesi,0.01714,TR,24.0
