NID,PC,DE,LE,TY,FF
3638,5258,Opaheke Rd,0.48129,TR,43.3
3639,5257,Liverpool St,0.24371,TR,45.5
3640,5256,Great South Rd,0.12854,TR,28.9
3641,5256,Great South Rd,0.04799,TR,36.0
3642,5257,Liverpool St,0.08054,TR,43.6
3643,5258,Opaheke Rd,0.24371,TR,43.3
3644,5259,Marne Rd,0.50621,TR,43.9
3645,5260,Hunua Rd,0.5528,TR,45.9
3646,5261,Dominion Rd,0.75603,TR,48.9
3647,5262,Duckworth Rd,0.59863,TR,48.8
3648,5263,Red Hill Rd,1.28101,TR,57.4
3649,5274,Papakura-Clevedon Rd/Clevedon Rd,0.03577,TR,42.0
3650,5273,Sheehan Ave,0.88752,TR,49.8
3651,5272,Settlement Rd,0.51786,TR,48.7
3652,5271,Croskery Rd,0.38247,TR,49.0
3653,5270,Red Hill Rd,0.62138,TR,49.7
3654,5269,Hunua Rd,0.50967,TR,46.0
3655,5269,Hunua Rd,0.02796,TR,43.2
3656,5270,Red Hill Rd,0.48171,TR,42.7
3657,5271,Croskery Rd,0.6734,TR,50.0
3658,5272,Settlement Rd,0.33266,TR,47.7
3659,5273,Sheehan Ave,0.49716,TR,49.4
3660,5274,Papakura-Clevedon Rd/Clevedon Rd,0.92329,TR,48.5
3661,5281,Dominion Rd,0.07767,TR,48.0
3662,5280,Cosgrave Rd,0.65875,TR,49.4
3663,5279,Grove Rd,0.5575,TR,49.6
3664,5278,Marne Rd/Willis Rd,0.69319,TR,47.4
3665,5277,Prictor St,0.04979,TR,43.6
3666,5276,Broadway,0.19732,TR,41.8
3667,5284,Clevedon Rd/Willis Rd,0.01756,TR,34.7
3668,5283,Settlement Rd,0.65589,TR,45.3
3669,5286,Clevedon Rd,0.03897,TR,38.0
3670,5287,Ingram St,0.40615,TR,46.2
3671,5287,Ingram St,0.01183,TR,38.0
3672,5286,Clevedon Rd,0.43329,TR,41.9
3673,5283,Settlement Rd,0.02701,TR,33.4
3674,5284,Clevedon Rd/Willis Rd,0.65403,TR,45.3
3675,5290,Prictor St,0.04699,TR,41.0
3676,5289,Porchester Rd,0.22475,TR,47.7
3677,5276,Broadway,0.04339,TR,41.0
3678,5277,Prictor St,0.15393,TR,42.2
3679,5278,Marne Rd/Willis Rd,0.05517,TR,38.0
3680,5279,Grove Rd,0.6749,TR,49.0
3681,5280,Cosgrave Rd,0.5575,TR,49.6
3682,5281,Dominion Rd,0.73642,TR,49.7
3683,5289,Porchester Rd,0.01118,TR,47.0
3684,5290,Prictor St,0.26057,TR,45.6
3685,5293,Great South Rd,0.02406,TR,34.0
3686,5292,Broadway,0.41758,TR,33.0
3687,5292,Broadway,0.02766,TR,28.0
3688,5293,Great South Rd,0.41398,TR,32.3
3689,5297,Clevedon Rd,0.05412,TR,32.4
3690,5296,O'Shannessey St,0.11935,TR,33.2
3691,5295,Great South Rd,0.11235,TR,23.9
3692,5300,Great South Rd,0.03584,TR,28.1
3693,5299,East St,0.08612,TR,28.7
3694,5295,Great South Rd,0.03031,TR,25.0
3695,5296,O'Shannessey St,0.08203,TR,23.9
3696,5297,Clevedon Rd,0.17348,TR,32.1
3697,5299,East St,0.00458,TR,35.0
3698,5300,Great South Rd,0.11739,TR,27.3
3699,5307,Great South Rd/Coles Cres,0.02289,TR,29.0
3700,5306,East St,0.10356,TR,27.1
3701,5304,Queen St,0.04756,TR,34.0
3702,5303,Elliot St,0.11609,TR,31.0
3703,5302,Wellington St,0.42895,TR,37.2
3704,5306,East St,0.03033,TR,31.0
3705,5307,Great South Rd/Coles Cres,0.09612,TR,31.6
3706,5302,Wellington St,0.01233,TR,27.4
3707,5303,Elliot St,0.41662,TR,28.4
3708,5304,Queen St,0.16366,TR,34.1
3709,5312,Great South Rd,0.03639,TR,26.0
3710,5311,East St,0.08329,TR,23.5
3711,5310,The Spinney/Mossford Grn,0.79466,TR,47.8
3712,5309,Beach Rd,0.99581,TR,45.0
3713,5309,Beach Rd,0.05705,TR,35.6
3714,5310,The Spinney/Mossford Grn,0.93875,TR,49.3
3715,5311,East St,0.79437,TR,45.0
3716,5312,Great South Rd,0.11969,TR,24.3
3717,8263,SH 20/Davies Ave,0.04277,TR,46.8
3718,8262,SH 20,0.59841,TR,44.3
3719,8262,SH 20,0.4967,TR,58.3
3720,8263,SH 20/Davies Ave,0.30289,TR,47.4
3721,8260,SH 1/Southern Mtwy/Auckland-Hamilton Mtwy,0.06954,TR,93.0
3722,8259,Lambie Dr,1.22832,TR,96.6
3723,8258,17/Roscommon Rd/Cavendish Dr,2.21574,TR,93.8
3724,8258,17/Roscommon Rd/Cavendish Dr,0.61144,TR,92.0
3725,8259,Lambie Dr,1.8281,TR,90.8
3726,8260,SH 1/Southern Mtwy/Auckland-Hamilton Mtwy,0.7363,TR,94.9
3727,8266,10B/Neilson St/Neilson St,0.0211,TR,35.0
3728,8265,SH 20/Southwestern Mtwy,1.16908,TR,47.8
3729,8265,SH 20/Southwestern Mtwy,0.08381,TR,24.7
3730,8266,10B/Neilson St/Neilson St,1.11012,TR,44.4
3731,8269,11/Blockhouse Bay Rd,0.06337,TR,36.4
3732,8268,Great North Rd,0.43998,TR,36.3
3733,8268,Great North Rd,0.04506,TR,29.4
3734,8269,11/Blockhouse Bay Rd,0.46386,TR,34.1
3735,8274,Fanshawe St,0.0286,TR,30.0
3736,8275,Lower Hobson St,0.2022,TR,30.0
3737,8276,Customs St W,0.08333,TR,30.0
3738,14751,Wellesley St,0.04305,TR,31.0
3739,8271,SH 16/Northwestern Mtwy,0.25346,TR,37.7
3740,8272,Symonds St,0.23401,TR,27.9
3741,8272,Symonds St,0.02262,TR,30.0
3742,8271,SH 16/Northwestern Mtwy,0.42992,TR,33.1
3743,14751,Wellesley St,0.10307,TR,31.5
3744,8278,Sturdee St/6,0.03623,TR,28.0
3745,8279,Quay St,0.16772,TR,17.1
3746,8284,Squadron Dr,0.37142,TR,99.0
3747,8283,Brigham Creek Rd,2.14195,TR,98.3
3748,8282,Trig Rd,1.64249,TR,97.5
3749,8281,Hobsonville Rd,0.65844,TR,96.0
3750,8287,SH 18/Hobsonville Deviation,1.4574,TR,74.3
3751,8286,SH 18/Hobsonville Rd,0.78458,TR,56.3
3752,8281,Hobsonville Rd,0.16073,TR,93.0
3753,8282,Trig Rd,1.25588,TR,97.9
3754,8283,Brigham Creek Rd,1.86439,TR,98.8
3755,8284,Squadron Dr,1.90348,TR,98.7
3756,8286,SH 18/Hobsonville Rd,0.0242,TR,38.0
3757,8287,SH 18/Hobsonville Deviation,0.99613,TR,60.1
3758,10542,Brigham Creek Rd,1.25297,TR,71.8
3759,8290,Fred Taylor Dr/Brigham Creek Rd,0.06441,TR,38.6
3760,8289,SH 18/Hobsonville Rd,3.45393,TR,96.2
3761,8293,Anzac St/Taharoto Rd,0.03434,TR,39.0
3762,8292,Esmonde Rd,0.80933,TR,46.2
3763,8289,SH 18/Hobsonville Rd,0.75616,TR,99.4
3764,8290,Fred Taylor Dr/Brigham Creek Rd,2.88841,TR,90.6
3765,8292,Esmonde Rd,0.05271,TR,49.4
3766,8293,Anzac St/Taharoto Rd,0.79135,TR,44.3
3767,8298,SH 1/Southern Mtwy,0.13302,TR,39.9
3768,8299,5/Great South Rd,0.35149,TR,47.1
3769,8299,5/Great South Rd,0.02105,TR,38.5
3770,8298,SH 1/Southern Mtwy,0.46859,TR,41.3
3771,8347,West Hoe Rd,0.02772,TR,35.9
3772,8346,Arran Dr,1.48951,TR,49.3
3773,8345,SH 1/Twin Coast Hwy/Northern Mtwy,0.7986,TR,52.3
3774,8345,SH 1/Twin Coast Hwy/Northern Mtwy,0.21989,TR,43.8
3775,8346,Arran Dr,0.63122,TR,58.8
3776,8347,West Hoe Rd,1.4732,TR,49.1
3777,8351,31/Twin Coast Hwy/Hibiscus Coast Hwy,0.03287,TR,36.0
3778,8350,Centreway Rd,0.29085,TR,43.9
3779,8349,Grand Dr,0.55593,TR,46.0
3780,10328,Florence Ave/Hatton Rd,0.21169,TR,41.8
3781,10328,Florence Ave/Hatton Rd,0.02309,TR,37.3
3782,8349,Grand Dr,0.21167,TR,40.3
3783,8350,Centreway Rd,0.57132,TR,45.3
3784,8351,31/Twin Coast Hwy/Hibiscus Coast Hwy,0.30553,TR,40.9
3785,8368,Paeroa-Tahuna Rd,15.22427,TR,77.0
3786,8369,SH 2/Normanby Rd,6.89835,TR,79.6
3787,8370,SH 2/Normanby Rd,0.16066,TR,39.9
3788,8371,Hubbard Rd,3.86826,TR,61.2
3789,8372,Station Rd/Puriri Valley Rd,14.7478,TR,88.8
3790,8373,SH 25A/Kopu-Hikuai Rd,7.16527,TR,85.6
3791,8374,SH 25/Paeroa Kopu Rd/Pacific Coast Hwy,0.41194,TR,56.6
3792,8374,SH 25/Paeroa Kopu Rd/Pacific Coast Hwy,0.06206,TR,48.2
3793,8373,SH 25A/Kopu-Hikuai Rd,0.3909,TR,58.0
3794,8372,Station Rd/Puriri Valley Rd,7.13974,TR,86.1
3795,8371,Hubbard Rd,14.7478,TR,88.4
3796,8370,SH 2/Normanby Rd,3.86826,TR,61.2
3797,8369,SH 2/Normanby Rd,0.19769,TR,39.7
3798,8368,Paeroa-Tahuna Rd,6.87957,TR,82.7
3799,8367,Stanley Ave,15.22427,TR,76.9
3800,8403,Domain Rd/Rowles Rd,0.02371,TR,80.0
3801,8402,Aka Aka Rd,3.61855,TR,77.3
3802,8401,Colombo Rd,12.17077,TR,78.3
3803,8397,SH 26/Paeroa Kopu Rd,0.02591,TR,46.5
3804,8398,Doc Trak,11.7679,TR,70.9
3805,8399,SH 25/Pacific Coast Hwy/Tairua Rd,16.40463,TR,83.9
3806,8399,SH 25/Pacific Coast Hwy/Tairua Rd,0.03394,TR,90.0
3807,8398,Doc Trak,16.37068,TR,83.7
3808,8397,SH 26/Paeroa Kopu Rd,11.79829,TR,72.1
3809,8406,Jutland Rd,0.02483,TR,50.0
3810,8405,Rowles Rd/Domain Rd,0.94352,TR,58.3
3811,8405,Rowles Rd/Domain Rd,0.02024,TR,60.0
3812,8406,Jutland Rd,0.94811,TR,58.0
3813,8410,King St/Queen St/Seddon St,0.02082,TR,26.9
3814,8409,Wesley St/Tobin St,0.16249,TR,32.0
3815,8408,Jutland Rd,1.09737,TR,46.7
3816,8408,Jutland Rd,0.04579,TR,50.0
3817,8409,Wesley St/Tobin St,1.0729,TR,46.3
3818,8410,King St/Queen St/Seddon St,0.16432,TR,33.4
3819,8414,Edinburgh St/Stadium Dr,0.02734,TR,28.9
3820,8413,Seddon St,0.23286,TR,35.0
3821,8412,West St,0.33969,TR,41.2
3822,8401,Colombo Rd,0.0812,TR,60.0
3823,8402,Aka Aka Rd,12.08957,TR,78.5
3824,8403,Domain Rd/Rowles Rd,3.63836,TR,77.1
3825,8412,West St,0.027,TR,50.0
3826,8413,Seddon St,0.34625,TR,42.5
3827,8414,Edinburgh St/Stadium Dr,0.23382,TR,35.5
3828,8422,Massey Ave,0.02653,TR,30.0
3829,8421,Queen St,0.22324,TR,37.5
3830,8420,West St,0.15664,TR,50.0
3831,8416,Edinburgh St/Tobin St,0.02936,TR,32.5
3832,8417,East St,0.53638,TR,43.0
3833,8418,Massey Ave/King St/Manukau Rd,0.11423,TR,32.7
3834,8418,Massey Ave/King St/Manukau Rd,0.02754,TR,31.1
3835,8417,East St,0.08398,TR,32.7
3836,8416,Edinburgh St/Tobin St,0.56372,TR,41.6
3837,8420,West St,0.02165,TR,32.6
3838,8421,Queen St,0.15707,TR,42.8
3839,8422,Massey Ave,0.23252,TR,35.7
3840,8425,Stadium Dr/King St/Manukau Rd,0.03025,TR,32.5
3841,8424,Wesley St,0.414,TR,37.3
3842,8424,Wesley St,0.02653,TR,29.0
3843,8425,Stadium Dr/King St/Manukau Rd,0.41502,TR,36.5
3844,8428,Pukekohe East Rd,0.04053,TR,41.2
3845,8427,Stadium Dr,1.25132,TR,48.0
3846,8427,Stadium Dr,0.05911,TR,37.0
3847,8428,Pukekohe East Rd,1.24106,TR,49.4
3848,8431,Harrisville Rd,0.03213,TR,85.0
3849,8430,East St,3.40644,TR,80.2
3850,12230,Bombay Rd,0.05153,TR,49.0
3851,8435,SH 1/Southern Mtwy/Great South Rd,0.6743,TR,55.5
3852,8434,SH 1/Southern Mtwy,0.22006,TR,49.3
3853,8433,Harrisville Rd,2.15801,TR,84.8
3854,8430,East St,0.0174,TR,47.0
3855,8431,Harrisville Rd,3.43579,TR,81.7
3856,8433,Harrisville Rd,0.03036,TR,80.0
3857,8434,SH 1/Southern Mtwy,2.24758,TR,81.1
3858,8435,SH 1/Southern Mtwy/Great South Rd,0.12319,TR,44.2
3859,12230,Bombay Rd,0.70175,TR,57.1
3860,8395,SH 2/Rosemont Rd/Pacific Coast Hwy,0.03186,TR,40.0
3861,8394,Golden Valley Rd,7.73552,TR,74.2
3862,8393,Port Rd,20.95298,TR,63.2
3863,8392,Harry Watt Dr,3.43399,TR,54.0
3864,8391,SH 25A/Kopu-Hikuai Rd,19.53632,TR,73.8
3865,8390,Hikuai Settlement Rd,1.38816,TR,91.0
3866,8389,Red Bridge Rd,9.46866,TR,83.0
3867,8388,Hot Water Beach Rd,17.81076,TR,58.7
3868,8387,The 309 Rd (South),18.47245,TR,73.3
3869,8386,Joan Gaskell Dr,4.86822,TR,81.8
3870,8385,Black Jack Rd,15.83166,TR,58.2
3871,8384,Whangapoua Rd,15.23597,TR,80.8
3872,8383,The 309 Rd (North),15.75753,TR,55.2
3873,8382,Marae Rd,8.77819,TR,67.3
3874,8381,Waikawau Valley Rd,16.52158,TR,56.2
3875,8380,Te Puru Creek Rd,13.44458,TR,55.5
3876,8379,SH 26/Paeroa Kopu Rd,17.98389,TR,61.4
3877,8378,Pipiroa Rd,11.63264,TR,95.8
3878,8377,Pacific Coast Hwy/Front Miranda Rd,6.53273,TR,90.0
3879,8376,SH 2,5.74716,TR,91.3
3880,8376,SH 2,0.05461,TR,49.4
3881,8377,Pacific Coast Hwy/Front Miranda Rd,5.69386,TR,93.4
3882,8378,Pipiroa Rd,6.53122,TR,89.0
3883,8379,SH 26/Paeroa Kopu Rd,11.65706,TR,94.9
3884,8380,Te Puru Creek Rd,17.93041,TR,61.9
3885,8381,Waikawau Valley Rd,13.44458,TR,55.5
3886,8382,Marae Rd,16.52158,TR,56.0
3887,8383,The 309 Rd (North),8.77819,TR,65.8
3888,8384,Whangapoua Rd,15.75753,TR,55.6
3889,8385,Black Jack Rd,15.23597,TR,78.5
3890,8386,Joan Gaskell Dr,15.86761,TR,57.7
3891,8387,The 309 Rd (South),4.83575,TR,82.0
3892,8388,Hot Water Beach Rd,18.47245,TR,74.6
3893,8389,Red Bridge Rd,17.81076,TR,58.3
3894,8390,Hikuai Settlement Rd,9.46866,TR,81.3
3895,8391,SH 25A/Kopu-Hikuai Rd,1.38816,TR,89.0
3896,8392,Harry Watt Dr,19.53632,TR,74.0
3897,8393,Port Rd,3.43399,TR,52.4
3898,8394,Golden Valley Rd,20.95298,TR,62.4
3899,8395,SH 2/Rosemont Rd/Pacific Coast Hwy,7.76739,TR,71.5
3900,10331,Florence Ave/West Hoe Rd,0.02347,TR,35.8
3901,10330,Riverside Rd,0.58383,TR,39.8
3902,10330,Riverside Rd,0.02809,TR,27.4
3903,10331,Florence Ave/West Hoe Rd,0.58606,TR,32.6
3904,10335,31/Twin Coast Hwy/Hibiscus Coast Hwy,0.01992,TR,30.0
3905,10334,Centreway Rd,0.37158,TR,39.8
3906,10333,Hatton Rd,0.41513,TR,38.1
3907,10333,Hatton Rd,0.07515,TR,44.0
3908,10334,Centreway Rd,0.38856,TR,36.3
3909,10335,31/Twin Coast Hwy/Hibiscus Coast Hwy,0.34126,TR,30.6
3910,10342,31/Twin Coast Hwy/Hibiscus Coast Hwy,0.02884,TR,34.0
3911,10341,Bay St,0.48632,TR,46.0
3912,10340,Whangaparaoa Rd,0.70303,TR,45.6
3913,10337,31/Twin Coast Hwy/Hibiscus Coast Hwy,0.02449,TR,46.0
3914,14397,Moana Ave,1.22839,TR,47.1
3915,14398,Florence Ave,0.19196,TR,40.8
3916,10338,West Hoe Rd,0.4913,TR,46.5
3917,14399,Puriri Ave,0.39085,TR,44.3
3918,14399,Puriri Ave,0.05459,TR,38.0
3919,10338,West Hoe Rd,0.35712,TR,39.9
3920,14398,Florence Ave,0.48635,TR,44.7
3921,14397,Moana Ave,0.1781,TR,38.9
3922,10337,31/Twin Coast Hwy/Hibiscus Coast Hwy,1.25379,TR,43.4
3923,10340,Whangaparaoa Rd,0.03877,TR,41.0
3924,10341,Bay St,0.66425,TR,48.9
3925,10342,31/Twin Coast Hwy/Hibiscus Coast Hwy,0.51516,TR,46.0
3926,10356,Whangaparaoa Rd,0.05334,TR,44.0
3927,10355,Gulf Harbour Dr,0.49187,TR,49.9
3928,10355,Gulf Harbour Dr,0.0567,TR,50.0
3929,10356,Whangaparaoa Rd,0.48851,TR,48.7
3930,10363,Stanmore Bay Rd,0.08959,TR,50.0
3931,10362,Kauri Rd,0.56077,TR,49.4
3932,10361,Whangaparaoa Rd,1.26619,TR,49.5
3933,10358,Whangaparaoa Rd,0.02312,TR,34.5
3934,10359,Shakespear Rd,3.08655,TR,49.5
3935,10359,Shakespear Rd,0.03221,TR,47.0
3936,10358,Whangaparaoa Rd,3.09785,TR,48.6
3937,10361,Whangaparaoa Rd,0.04398,TR,46.5
3938,10362,Kauri Rd,1.26619,TR,50.0
3939,10363,Stanmore Bay Rd,0.65036,TR,49.2
3940,10366,Brightside Rd,0.02329,TR,48.0
3941,10365,Whangaparaoa Rd,1.27175,TR,44.1
3942,10365,Whangaparaoa Rd,0.02998,TR,36.0
3943,10366,Brightside Rd,1.26506,TR,45.2
3944,10369,Whangaparaoa Rd,0.02871,TR,9.0
3945,10368,Langton Rd,2.64036,TR,48.8
3946,10368,Langton Rd,0.08993,TR,40.0
3947,10369,Whangaparaoa Rd,2.57914,TR,48.6
3948,10371,Vipond Rd,0.02578,TR,37.0
3949,10372,Kauri Rd,0.25463,TR,41.4
3950,10372,Kauri Rd,0.06098,TR,36.0
3951,10371,Vipond Rd,0.21944,TR,37.8
3952,10375,Langton Rd,0.02448,TR,38.0
3953,10374,Brightside Rd,0.13532,TR,36.4
3954,10374,Brightside Rd,0.08352,TR,34.2
3955,10375,Langton Rd,0.07628,TR,35.1
3956,10353,Shakespear Rd,0.02077,TR,50.0
3957,10352,Gulf Harbour Dr,2.42609,TR,52.0
3958,10351,Beach Rd,2.80346,TR,52.0
3959,10350,Ladies Mile,1.68222,TR,49.8
3960,10349,Stanmore Bay Rd,0.67037,TR,46.1
3961,10348,Brightside Rd,2.38879,TR,49.6
3962,10347,Vipond Rd,1.94251,TR,55.6
3963,10346,Marellen Dr,0.55629,TR,58.7
3964,10345,Red Beach Rd,0.64434,TR,59.2
3965,10344,31/Twin Coast Hwy/Hibiscus Coast Hwy,1.5547,TR,49.4
3966,10344,31/Twin Coast Hwy/Hibiscus Coast Hwy,0.09918,TR,41.9
3967,10345,Red Beach Rd,1.49872,TR,49.8
3968,10346,Marellen Dr,0.60113,TR,58.5
3969,10347,Vipond Rd,0.60434,TR,58.0
3970,10348,Brightside Rd,1.89446,TR,55.1
3971,10349,Stanmore Bay Rd,2.38879,TR,49.9
3972,10350,Ladies Mile,0.67037,TR,48.7
3973,10351,Beach Rd,1.70632,TR,49.3
3974,10352,Gulf Harbour Dr,2.8038,TR,51.9
3975,10353,Shakespear Rd,2.41924,TR,52.4
3976,10377,Kahikatea Flat Rd,0.05792,TR,60.0
3977,10378,31/Dairy Flat Hwy,4.21442,TR,78.4
3978,10378,31/Dairy Flat Hwy,0.04192,TR,46.0
3979,10377,Kahikatea Flat Rd,4.20284,TR,77.0
3980,10385,Green Rd/South Head Rd,0.05161,TR,100.0
3981,10384,SH 16/Twin Coast Hwy/Mill Rd,3.06681,TR,62.9
3982,10384,SH 16/Twin Coast Hwy/Mill Rd,0.04295,TR,40.8
3983,10385,Green Rd/South Head Rd,3.0841,TR,68.1
3984,10382,31/Dairy Flat Hwy,0.01369,TR,40.0
3985,10381,Pine Valley Rd,3.04988,TR,76.8
3986,10380,SH 16/Twin Coast Hwy/Kaipara Coast Hwy,11.03667,TR,71.5
3987,10380,SH 16/Twin Coast Hwy/Kaipara Coast Hwy,0.0412,TR,50.4
3988,10381,Pine Valley Rd,10.99547,TR,71.7
3989,10382,31/Dairy Flat Hwy,3.06358,TR,75.5
3990,10387,Parkhurst Rd,0.05397,TR,100.0
3991,10388,Mairetahi Rd/Webber Rd,15.48829,TR,100.0
3992,10394,Motutara Rd/Coster Rd,0.02644,TR,50.0
3993,10393,Constable Rd,3.44856,TR,50.7
