NID,PC,DE,LE,TY,FF
893,5292,Montgomery St/Exit 3,0.26337,TR,39.77
894,5291,Brooklyn Brg/Exit 2,1.05829,TR,39.77
895,5290,Marginal St/South St/Exit 1,0.65698,TR,31.69
896,5289,South St,0.08413,TR,29.83
897,5330,I-278/Staten Island Expy,0.05833,TR,49.71
898,5329,South Ave/Exit 8,1.43751,TR,49.71
899,5328,Victory Blvd/Exit 7,0.9298,TR,49.71
900,5327,Muldoon Ave/Exit 5,1.43615,TR,49.71
901,5326,Arthur Kill Rd/Exit 4,1.30449,TR,49.71
902,5325,Bloomingdale Rd/Exit 3,0.62681,TR,49.71
903,5324,Woodrow Rd/Exit 3,0.8096,TR,49.71
904,5323,Beginning of Freeway,0.83909,TR,43.62
905,5323,Beginning of Freeway,0.61965,TR,27.34
906,5324,Woodrow Rd/Exit 3,0.59292,TR,49.71
907,5325,Bloomingdale Rd/Exit 3,0.90038,TR,49.71
908,5326,Arthur Kill Rd/Exit 4,1.0332,TR,49.71
909,5327,Muldoon Ave/Exit 5,0.96915,TR,49.71
910,5328,Victory Blvd/Exit 7,1.62283,TR,49.71
911,5329,South Ave/Exit 8,1.01101,TR,49.71
912,5330,I-278/Staten Island Expy,0.79544,TR,49.71
913,5289,South St,0.12234,TR,29.83
914,5290,Marginal St/South St/Exit 1,0.05932,TR,24.85
915,5291,Brooklyn Brg/Exit 2,0.93356,TR,37.41
916,5292,Montgomery St/Exit 3,0.67539,TR,39.77
917,5293,Grand St/Exit 4,0.43636,TR,39.77
918,5294,Houston St/Exit 5,0.43062,TR,39.77
919,5295,14th St,0.44419,TR,39.77
920,5296,15th St/Exit 6,0.08614,TR,39.77
921,5297,Avenue C/20th St/23rd St/Exit 7,0.6721,TR,39.77
922,5298,I-495/Midtown Tunnel/Exit 8,0.20063,TR,39.77
923,5299,42nd St/Exit 9,0.64212,TR,39.15
924,5300,49th St/Exit 10,0.41904,TR,39.77
925,5301,53rd St/Exit 11,0.15317,TR,39.33
926,5302,61st St,0.36549,TR,38.65
927,5303,RT-25/63rd St/Exit 12,0.14893,TR,38.21
928,5304,71st St/Exit 13,0.49028,TR,39.77
929,5305,79th St,0.39372,TR,39.77
930,5306,96th St/Exit 14,0.9998,TR,39.64
931,5307,106th St/Exit 15,0.53059,TR,39.71
932,5308,116th St/Exit 16,0.41337,TR,39.77
933,5309,I-278/Triboro Brg/Exit 17,0.37842,TR,39.77
934,7774,Dyckman St/10th Ave,0.00629,TR,24.85
935,5342,I-95/Amsterdam Ave/Exit 23,1.47933,TR,38.84
936,5341,8th Ave/155th St/Exit 23,0.74584,TR,49.71
937,5340,5th Ave/142nd St/Exit 22,0.94568,TR,49.71
938,5339,Park Ave/NB Exit 21/SB Exit 20,0.39734,TR,49.4
939,5338,3rd Ave Brg,0.16662,TR,46.54
940,5337,2nd Ave/125th St/Exit 19,0.3042,TR,46.29
941,5336,I-87/Willis Ave Brg/Exit 18,0.06383,TR,44.12
942,5336,I-87/Willis Ave Brg/Exit 18,0.16458,TR,39.77
943,5337,2nd Ave/125th St/Exit 19,0.35356,TR,39.77
944,5338,3rd Ave Brg,0.13545,TR,39.77
945,5339,Park Ave/NB Exit 21/SB Exit 20,0.2536,TR,39.77
946,5340,5th Ave/142nd St/Exit 22,0.37593,TR,39.71
947,5341,8th Ave/155th St/Exit 23,1.47716,TR,48.28
948,5342,I-95/Amsterdam Ave/Exit 23,0.28254,TR,41.01
949,7774,Dyckman St/10th Ave,1.27837,TR,37.03
950,5391,I-678/Exit 36,0.01986,TR,47.22
951,5390,14th Ave/Exit 35,0.31619,TR,48.9
952,5389,Francis Lewis Blvd/Exit 34,0.49147,TR,49.4
953,5388,I-295/Throgs Neck BR/Exit 33,0.9404,TR,49.59
954,5387,212th St/Exit 32,0.47336,TR,49.15
955,5386,RT-25/Northern Blvd/Exit 31,2.41134,TR,48.78
956,5385,I-495/Long Island Expy/Exit 30,0.71171,TR,49.21
957,5384,W Alley Rd,0.32026,TR,49.71
958,5383,Grand Central Pky/Exit 29,0.75692,TR,49.71
959,5382,Union Tpke/Exit 28,0.37989,TR,49.34
960,5381,Hillside Ave/Exit 28,0.51273,TR,49.71
961,5380,RT-25/Exit 27,0.44033,TR,49.71
962,5379,Jamaica Ave/Exit 27,0.23163,TR,49.71
963,5378,Belmont Park Race Track/Exit 26,0.34095,TR,49.71
964,5377,RT-24/Hempstead Tpke/Exit 26,0.64367,TR,49.71
965,5376,Belmont Park Rd/Exit 26,0.36592,TR,49.71
966,5375,Linden Blvd/Exit 25,0.82784,TR,49.71
967,5374,Southern Pky/Exit 25,0.11808,TR,49.71
968,5374,Southern Pky/Exit 25,0.01738,TR,49.71
969,5375,Linden Blvd/Exit 25,0.1464,TR,49.71
970,5376,Belmont Park Rd/Exit 26,1.11982,TR,49.71
971,5377,RT-24/Hempstead Tpke/Exit 26,0.36041,TR,49.71
