NID,PC,DE,LE,TY,FF
204,25312,Wollishofen,0.19702,TR,47.4
205,23536,Adliswil,2.67874,TR,42.5
206,11444,Küsnacht,2.0397,TR,53.9
207,24110,Zollikon,2.39289,TR,56.1
208,27678,Zürich - Bellevue,3.57584,TR,47.3
209,27679,Zürich - Heimplatz,0.46594,TR,31.0
210,27680,Zürich - Rigiplatz,1.61115,TR,36.8
211,27681,Zürich - Milchbuck,2.82223,TR,43.6
212,27682,Zürich - Radiostudio,0.75112,TR,36.5
213,27683,Zürich - Glaubtenstrasse,1.84333,TR,42.5
214,27684,Affoltern,1.10464,TR,42.6
215,10274,Affoltern,1.40444,TR,44.9
216,11443,Regensdorf,1.73072,TR,61.3
217,27318,Aescher-Tunnel,1.66526,TR,99.4
218,27165,Verzweigung Zürich-West,0.83746,TR,96.0
219,27323,Wettswil,0.48878,TR,88.8
220,27166,Uetliberg-Tunnel,4.48449,TR,100.0
221,27167,Verzweigung Zürich-Süd,0.75117,TR,83.4
222,25924,Entlisberg-Tunnel,0.90315,TR,80.0
223,10505,Wollishofen,0.56779,TR,84.1
224,26356,Aspholz,1.12075,TR,105.0
225,10506,Thalwil,2.48265,TR,105.0
226,27696,Zürich - Bellevue,0.07254,TR,25.0
227,27697,Zürich - Kreuzplatz,0.22302,TR,25.2
228,25894,Zollikerberg,4.70326,TR,43.6
229,25939,Küsnachter-Kreuzung,1.66586,TR,62.8
230,10274,Affoltern,1.88139,TR,59.6
231,27684,Affoltern,1.2272,TR,43.0
232,27683,Zürich - Glaubtenstrasse,1.10464,TR,41.7
233,27682,Zürich - Radiostudio,1.84333,TR,43.2
234,27681,Zürich - Milchbuck,0.95894,TR,36.8
235,27680,Zürich - Rigiplatz,2.61444,TR,40.9
236,27679,Zürich - Heimplatz,1.64213,TR,33.9
237,27678,Zürich - Bellevue,0.49079,TR,30.1
238,24110,Zollikon,3.70766,TR,50.2
239,11444,Küsnacht,2.39422,TR,56.8
240,24109,Erlenbach,2.03939,TR,55.1
241,26356,Aspholz,2.34499,TR,103.4
242,10505,Wollishofen,0.81872,TR,100.0
243,25924,Entlisberg-Tunnel,1.0768,TR,100.0
244,27167,Verzweigung Zürich-Süd,0.94287,TR,82.2
245,27166,Uetliberg-Tunnel,4.57695,TR,99.6
246,27323,Wettswil,0.21513,TR,93.9
247,27165,Verzweigung Zürich-West,0.41867,TR,96.3
248,27318,Aescher-Tunnel,1.31875,TR,99.5
249,27164,Birmensdorf,1.04455,TR,99.6
250,10050,Verzweigung Zürich-Nord,0.84689,TR,99.5
251,10620,Opfikon,0.29333,TR,96.7
252,25930,Bubenholz-Tunnel,0.54528,TR,100.0
253,10847,Glattbrugg,0.52999,TR,99.3
254,25936,Schwamendingen,0.07201,TR,46.6
255,25668,Dübendorf,0.69847,TR,51.8
256,12304,Dübendorf,1.28458,TR,50.8
257,25329,Gfenn,2.47346,TR,51.2
258,25939,Küsnachter-Kreuzung,0.10585,TR,51.4
259,25894,Zollikerberg,1.56043,TR,64.5
260,27697,Zürich - Kreuzplatz,4.6526,TR,43.3
261,27696,Zürich - Bellevue,0.55967,TR,27.0
262,10273,Weiningen,0.65728,TR,73.3
263,11114,Gubrist-Tunnel,3.35539,TR,82.3
264,10284,Affoltern,1.1316,TR,100.9
265,27435,Büsisee,1.31749,TR,102.0
266,10289,Seebach,3.10308,TR,105.0
267,25927,Stelzen-Tunnel,0.95062,TR,95.5
268,10051,Verzweigung Zürich-Nord,1.31617,TR,90.7
269,10082,Verzweigung Zürich-Ost,1.30118,TR,92.2
270,10770,Wallisellen,1.70007,TR,86.4
271,10151,Verzweigung Brüttisellen,2.40637,TR,98.2
272,26330,Baltenswil,2.13398,TR,103.5
273,27332,Islisberg-Tunnel,7.74328,TR,101.6
274,27333,Wettswil am Albis,0.19492,TR,96.5
275,27334,Verzweigung Zürich-West,0.96854,TR,80.8
276,25930,Bubenholz-Tunnel,0.54352,TR,98.4
277,10620,Opfikon,0.54942,TR,98.5
278,10050,Verzweigung Zürich-Nord,1.05481,TR,97.0
279,10151,Verzweigung Brüttisellen,1.78506,TR,99.7
280,10770,Wallisellen,3.18671,TR,95.3
281,10082,Verzweigung Zürich-Ost,1.50729,TR,91.4
282,10051,Verzweigung Zürich-Nord,1.18493,TR,99.3
283,25927,Stelzen-Tunnel,0.68322,TR,100.0
284,10289,Seebach,2.03314,TR,102.1
285,27435,Büsisee,2.04611,TR,103.2
286,10284,Affoltern,1.69935,TR,80.9
287,11114,Gubrist-Tunnel,3.56204,TR,99.0
288,10273,Weiningen,0.14378,TR,88.2
289,10001,Verzweigung Limmattal,1.326,TR,78.3
290,12304,Dübendorf,2.45588,TR,49.2
291,25668,Dübendorf,1.54441,TR,50.3
292,25936,Schwamendingen,0.50638,TR,49.0
293,27334,Verzweigung Zürich-West,0.59625,TR,83.0
294,27333,Wettswil am Albis,0.36431,TR,81.5
295,27332,Islisberg-Tunnel,5.12132,TR,100.0
296,27170,Verzweigung Zürich-Süd,4.08715,TR,54.1
297,25295,Brunau,1.23206,TR,55.5
298,27666,Zürich - Sihlcity,0.56904,TR,47.5
299,27667,Wiedikon,1.14204,TR,38.9
300,27668,Zürich - Brandwache,0.31746,TR,41.2
301,25312,Wollishofen,2.77546,TR,44.3
302,11451,Schlieren,1.58677,TR,50.6
303,10408,Altstetten,3.76539,TR,49.9
304,10410,Hardturm,1.37036,TR,53.3
305,27685,Zürich - Toni Areal,0.78693,TR,43.4
306,12323,Zürich - Hardbrücke,0.62146,TR,37.8
307,27686,Zürich - Escher-Wyss-Platz,0.69154,TR,31.1
308,27687,Zürich - Bucheggplatz,1.0914,TR,45.9
309,27688,Hirschwiesentunnel,0.01228,TR,46.0
310,27689,Zürich - Milchbuck,0.67749,TR,48.4
311,25289,Unterstrass,0.44259,TR,50.0
312,25941,Schwamendingen,0.89661,TR,44.1
313,27690,Schwamendingen Zentrum,1.00568,TR,39.5
314,27691,Schwamendingen/Glattzentrum,1.38425,TR,41.6
315,11521,Wallisellen,1.79241,TR,50.5
316,24102,Brüttisellen,1.9328,TR,40.2
317,11522,Baltenswil,1.23197,TR,52.0
318,23484,Kilchberg,2.38063,TR,53.9
319,27101,Wollishofen,2.64177,TR,51.1
320,27673,Zürich - Enge,2.24242,TR,44.4
321,27674,Ulmenbergtunnel,0.63614,TR,38.6
322,27675,Zürich - Brandwache,0.31392,TR,30.4
323,27676,Zürich - Wiedikon,0.25405,TR,29.9
324,27677,Zürich - PJZ,1.19578,TR,38.3
325,12324,Zürich - Hardbrücke,2.02955,TR,41.2
