NID,PC,DE,LE,TY,FF
474,30648,Teddington,0.27747,TR,20.0
475,30647,Teddington,0.78505,TR,19.8
476,30664,Sw14,0.03282,TR,20.0
477,30665,Sw14,0.52276,TR,18.9
478,30665,Sw14,0.05818,TR,20.0
479,30664,Sw14,0.48007,TR,20.0
480,30659,Ham,0.01783,TR,20.0
481,30660,Richmond,0.5048,TR,20.0
482,30661,Richmond,1.36539,TR,20.0
483,30662,Richmond,0.70048,TR,20.5
484,30663,Kew,1.49652,TR,19.8
485,30663,Kew,0.05075,TR,20.0
486,30662,Richmond,1.48927,TR,20.2
487,30661,Richmond,0.69,TR,19.9
488,30660,Richmond,1.36457,TR,20.0
489,30659,Ham,0.48245,TR,20.0
490,30667,Hammersmith Industrial Estate,0.06191,TR,20.0
491,30668,Sw13,2.12476,TR,20.0
492,30668,Sw13,0.00791,TR,20.0
493,30667,Hammersmith Industrial Estate,2.17876,TR,20.0
494,30658,Hampton Wick,0.0426,TR,20.0
495,30657,Teddington,2.04303,TR,20.0
496,30656,Teddington,0.70149,TR,20.0
497,30655,Teddington,0.79528,TR,20.0
498,30654,Hampton Hill,0.63513,TR,20.0
499,30653,Hampton Hill,0.88533,TR,20.0
500,30652,Whitton,0.47033,TR,20.1
501,30651,Whitton,1.73073,TR,20.1
502,30669,Putney,0.02454,TR,20.0
503,30670,Sw13,0.61359,TR,20.0
504,30671,Sw13,0.90304,TR,20.0
505,47740,Haymarket,0.05842,TR,20.0
506,30672,St James'S,0.06212,TR,20.0
507,30671,Sw13,0.04788,TR,20.0
508,30670,Sw13,0.84947,TR,20.0
509,30669,Putney,0.63814,TR,20.0
510,30677,Sw7,0.05321,TR,20.0
511,30678,W8,0.70711,TR,19.9
512,30651,Whitton,0.02357,TR,42.0
513,30652,Whitton,1.76522,TR,20.3
514,30653,Hampton Hill,0.49145,TR,20.0
515,30654,Hampton Hill,0.81756,TR,19.9
516,30655,Teddington,0.63706,TR,20.0
517,30656,Teddington,0.79528,TR,20.0
518,30657,Teddington,0.72191,TR,20.0
519,30658,Hampton Wick,2.07315,TR,20.0
520,30673,Pimlico,0.05818,TR,19.9
521,30674,Pimlico,0.15778,TR,20.0
522,30675,Westminster,0.46758,TR,7.0
523,30676,Westminster,0.51588,TR,19.4
524,30676,Westminster,0.04285,TR,20.0
525,30675,Westminster,0.47302,TR,19.3
526,30674,Pimlico,0.50202,TR,19.7
527,30673,Pimlico,0.21596,TR,18.4
528,30678,W8,0.04674,TR,20.0
529,30677,Sw7,0.71358,TR,19.9
530,30679,Sw1,0.01783,TR,20.0
531,30680,Victoria,0.41846,TR,19.9
532,30681,Pimlico,0.24524,TR,20.0
533,30682,Victoria,0.66568,TR,20.0
534,30687,A305 - Richmond,0.0457,TR,20.0
535,30688,B321 - Richmond,1.03585,TR,20.0
536,30686,Sw1,0.03828,TR,20.0
537,30685,Sw1,0.45479,TR,19.7
538,30684,Westminster,0.70874,TR,20.0
539,30683,Westminster,0.29284,TR,20.0
540,30683,Westminster,0.04035,TR,20.0
541,30684,Westminster,0.25756,TR,20.0
542,30685,Sw1,0.70606,TR,19.8
543,30686,Sw1,0.49307,TR,20.0
544,30688,B321 - Richmond,0.04013,TR,20.0
545,30687,A305 - Richmond,1.04141,TR,20.0
546,30682,Victoria,0.0189,TR,20.0
547,30681,Pimlico,0.64655,TR,20.0
548,30680,Victoria,0.24524,TR,17.2
549,30679,Sw1,0.4363,TR,20.0
550,30689,A307,0.0325,TR,20.0
551,30690,B322,0.5244,TR,20.0
552,30691,B353,0.47125,TR,20.0
553,30692,Belgravia,0.07608,TR,20.0
554,30693,Belgravia,0.31656,TR,20.0
555,30694,South Kensington,0.55758,TR,19.7
556,30695,A304 - Fulham,0.02754,TR,20.0
557,30696,A308 - Fulham,0.40164,TR,19.5
558,30691,B353,0.04462,TR,20.0
559,30690,B322,0.42545,TR,20.0
