NID,PC,DE,LE,TY,FF
1881,10096,Modderdam Road East-West,0.03271,TR,41.0
1882,10095,Junction Street,0.30454,TR,42.8
1883,10094,De la Rey Street,0.78904,TR,41.6
1884,10089,Jakkalsvlei Avenue,0.05156,TR,30.0
1885,10090,Bluegum Road,2.30354,TR,28.7
1886,10091,Vanguard Drive,0.28296,TR,29.8
1887,10087,Koeberg Road,0.03247,TR,31.6
1888,10086,Saint John'S Road,0.73094,TR,49.6
1889,10085,N7,11.5003,TR,70.9
1890,10094,De la Rey Street,0.01247,TR,41.0
1891,10095,Junction Street,0.82413,TR,41.2
1892,10096,Modderdam Road East-West,0.30455,TR,38.6
1893,10085,N7,0.02339,TR,26.0
1894,10086,Saint John'S Road,11.48898,TR,72.1
1895,10087,Koeberg Road,0.74117,TR,52.8
1896,10116,Bill Bezuidenhout Avenue,0.01279,TR,30.0
1897,10114,Durban Road,0.99663,TR,26.3
1898,10114,Durban Road,0.06429,TR,22.0
1899,10116,Bill Bezuidenhout Avenue,0.79207,TR,31.5
1900,10134,Broadway Boulevard,0.04047,TR,33.0
1901,10133,Gordon's Bay Road,1.03634,TR,40.1
1902,10133,Gordon's Bay Road,0.01137,TR,34.0
1903,10134,Broadway Boulevard,1.06544,TR,41.0
1904,10149,Lourensford Road,0.09989,TR,30.0
1905,10148,Parel Vallei Road,0.35572,TR,42.4
1906,10147,Dummer Street,0.58468,TR,48.0
1907,10146,Helderberg College Road,1.57593,TR,52.3
1908,15271,Old Stellenbosch Road,1.27088,TR,49.8
1909,10145,Broadway Boulevard,0.05925,TR,42.6
1910,10145,Broadway Boulevard,0.02502,TR,45.0
1911,15271,Old Stellenbosch Road,0.04887,TR,43.2
1912,10146,Helderberg College Road,1.24569,TR,48.8
1913,10147,Dummer Street,1.57593,TR,53.2
1914,10148,Parel Vallei Road,0.58468,TR,48.6
1915,10149,Lourensford Road,0.45562,TR,39.9
1916,10156,Main Road,0.08493,TR,34.0
1917,10155,Irene Avenue,0.62771,TR,47.5
1918,10151,Irene Avenue,0.05537,TR,37.0
1919,10152,Old Stellenbosch Road,0.90844,TR,39.7
1920,10153,Main Road,0.9297,TR,40.5
1921,10155,Irene Avenue,0.05136,TR,40.0
1922,10156,Main Road,0.66128,TR,45.0
1923,10153,Main Road,0.04084,TR,30.0
1924,10152,Old Stellenbosch Road,0.88885,TR,39.7
1925,10151,Irene Avenue,0.96381,TR,38.4
1926,12758,Vergelegen Avenue,0.05455,TR,44.0
1927,12757,Hendriksz Road,0.91916,TR,47.2
1928,12756,Hillcrest Road,0.3733,TR,43.2
1929,10160,Irene Avenue,1.186,TR,39.0
1930,10161,Main Road,0.86133,TR,39.3
1931,10161,Main Road,0.03453,TR,32.0
1932,10160,Irene Avenue,0.8268,TR,43.2
1933,12756,Hillcrest Road,1.22054,TR,39.8
1934,12757,Hendriksz Road,0.3654,TR,44.1
1935,12758,Vergelegen Avenue,0.9528,TR,46.2
1936,10219,Koeberg Road,0.01159,TR,30.0
1937,10217,Otto du Plessis Drive,0.66109,TR,32.7
1938,10217,Otto du Plessis Drive,0.0556,TR,36.8
1939,10219,Koeberg Road,0.6154,TR,29.7
1940,10239,Koeberg Road,0.04936,TR,27.0
1941,10238,Marine Drive,0.3766,TR,33.7
1942,10228,Montague Drive,0.01207,TR,34.0
1943,10227,Omuramba Road,0.69222,TR,35.3
1944,10225,Koeberg Road,0.72868,TR,25.4
1945,10225,Koeberg Road,0.0865,TR,29.6
1946,10227,Omuramba Road,0.66184,TR,25.5
1947,10228,Montague Drive,0.68463,TR,32.9
1948,10238,Marine Drive,0.0167,TR,40.0
1949,10239,Koeberg Road,0.40927,TR,31.1
1950,10243,Sir Lowry Road,0.03892,TR,25.0
1951,10242,Eastern Boulevard,0.38109,TR,33.9
1952,10242,Eastern Boulevard,0.01113,TR,27.0
1953,10243,Sir Lowry Road,0.40888,TR,30.0
1954,10245,Victoria Road,0.03775,TR,21.0
1955,10246,Albert Road,0.22394,TR,24.9
1956,10249,Albert Road,0.02417,TR,23.0
1957,10248,Victoria Road,0.25627,TR,24.6
1958,10256,Malta Road,0.01971,TR,27.0
1959,10255,Station Road,1.00657,TR,31.0
1960,10254,Main Road,0.55472,TR,22.3
1961,10254,Main Road,0.04409,TR,22.0
1962,10255,Station Road,0.51063,TR,22.8
1963,10256,Malta Road,1.02628,TR,29.1
1964,10337,Herschel Road,0.07145,TR,30.0
1965,10336,Main Road,0.45851,TR,34.4
1966,10336,Main Road,0.05216,TR,28.0
1967,10337,Herschel Road,0.4778,TR,36.3
1968,10367,Long Street,0.01635,TR,10.0
1969,10366,Loop Street,0.06749,TR,10.0
1970,10378,Bree Street,0.07954,TR,13.0
1971,10365,Buitengragt,0.11444,TR,16.5
1972,10350,Buitensingel Street,0.04391,TR,22.0
1973,10352,Wale Street,0.52122,TR,21.2
1974,10353,Shortmarket Street,0.22247,TR,17.4
1975,10354,Strand Street,0.22136,TR,16.7
1976,10356,Waterkant Street,0.08435,TR,16.0
1977,10357,Riebeek Street,0.07988,TR,15.0
1978,10359,Hans Strijdom Avenue,0.19319,TR,18.1
1979,10365,Buitengragt,0.02345,TR,14.0
1980,10378,Bree Street,0.09099,TR,17.1
1981,10393,Buitengracht Street,0.02487,TR,20.0
1982,10394,Bree Street,0.08998,TR,17.1
1983,10395,Loop Street,0.07744,TR,13.9
1984,10396,Long Street,0.07887,TR,14.5
1985,10396,Long Street,0.03625,TR,17.0
1986,10395,Loop Street,0.04262,TR,15.0
1987,10394,Bree Street,0.17397,TR,17.2
1988,10393,Buitengracht Street,0.0968,TR,17.0
1989,10389,Hans Strijdom Avenue,0.01778,TR,19.0
1990,10388,Riebeek Street,0.15264,TR,17.4
1991,10387,Waterkant Street,0.07859,TR,17.0
1992,10386,Strand Street,0.09717,TR,15.1
1993,10385,Shortmarket Street,0.20968,TR,15.7
1994,10384,Wale Street,0.22156,TR,16.3
1995,10383,Buitensingel Street,0.57201,TR,19.9
1996,10465,Eastern Boulevard,0.05124,TR,60.0
1997,10466,Main Road,0.94292,TR,45.6
1998,10466,Main Road,0.01937,TR,32.0
1999,10465,Eastern Boulevard,2.02431,TR,36.4
2000,18454,Lower Plein Street,0.00722,TR,19.0
2001,10474,Darling Street,0.19522,TR,16.6
2002,24531,Plein Street,0.50421,TR,20.3
2003,10473,Buitenkant Street,0.25873,TR,27.3
2004,10473,Buitenkant Street,0.03663,TR,24.0
2005,24531,Plein Street,0.22165,TR,24.8
2006,10474,Darling Street,0.50421,TR,18.9
2007,18454,Lower Plein Street,0.20244,TR,16.7
2008,10490,Otto du Plessis Road,0.07118,TR,35.0
2009,10488,West Coast Road,1.46001,TR,48.9
2010,10488,West Coast Road,0.04739,TR,34.0
2011,10490,Otto du Plessis Road,1.48379,TR,50.5
2012,10477,Buitensingel Street,0.0164,TR,19.0
2013,10478,Rheede Street,0.25201,TR,35.7
2014,10479,Park Road,0.04217,TR,21.3
2015,10480,Firdale Road,1.04086,TR,26.6
2016,10481,Kloof Nek Road,0.43876,TR,25.2
2017,10481,Kloof Nek Road,0.03282,TR,25.0
2018,10480,Firdale Road,0.40594,TR,23.2
2019,10479,Park Road,1.04086,TR,27.0
2020,10478,Rheede Street,0.04217,TR,22.6
2021,10477,Buitensingel Street,0.26842,TR,33.1
2022,10495,Wingfield Road,0.12173,TR,60.0
2023,10494,Melkbosstrand Road,4.43533,TR,60.0
2024,10493,Reygersdal Drive,8.47237,TR,59.6
2025,10504,Suikerbos Street,0.04216,TR,31.7
2026,10505,Old Paarl Road,1.04958,TR,35.1
2027,10505,Old Paarl Road,0.05127,TR,35.0
2028,10504,Suikerbos Street,1.04047,TR,35.9
2029,10493,Reygersdal Drive,0.01334,TR,90.0
2030,10494,Melkbosstrand Road,8.45903,TR,60.0
2031,10495,Wingfield Road,4.55706,TR,60.0
2032,10515,Baden Powell Drive,0.06344,TR,31.0
2033,10514,Spine Road,0.4282,TR,41.0
2034,10514,Spine Road,0.05286,TR,36.0
2035,10515,Baden Powell Drive,0.43879,TR,43.1
2036,10510,Vanguard Drive,0.01989,TR,40.0
2037,10509,Morgenster Road,0.30727,TR,100.0
2038,10508,Varkens Vlei Road,3.32243,TR,100.0
2039,10507,Duinefontein Road,1.17645,TR,91.4
2040,10507,Duinefontein Road,0.08372,TR,44.5
2041,10508,Varkens Vlei Road,1.09272,TR,100.0
2042,10509,Morgenster Road,3.32243,TR,100.0
2043,10510,Vanguard Drive,0.30764,TR,91.2
2044,10519,Steenberg Road,0.05209,TR,35.0
2045,10518,Boyes Drive,1.21145,TR,51.6
2046,10518,Boyes Drive,0.04076,TR,31.0
2047,10519,Steenberg Road,1.24839,TR,45.8
2048,10612,Main Road,0.06256,TR,32.0
2049,10611,Rhodes Drive,0.69121,TR,42.3
2050,10611,Rhodes Drive,0.13003,TR,37.3
2051,10612,Main Road,0.62374,TR,42.5
2052,10620,Milner Road,0.04744,TR,28.0
2053,10618,Camp Ground Road,1.32454,TR,35.9
2054,10618,Camp Ground Road,0.10216,TR,31.0
2055,10620,Milner Road,1.26873,TR,38.2
2056,10631,Rosmead Avenue,0.04342,TR,29.0
2057,10630,Main Road,0.84227,TR,30.2
2058,10630,Main Road,0.04348,TR,24.0
2059,10631,Rosmead Avenue,0.84222,TR,28.8
2060,10649,Main Road,0.03333,TR,23.0
2061,10648,Waterloo Road,0.57692,TR,27.9
2062,10641,Waterloo Road,0.0581,TR,26.9
2063,10643,Riverstone Road,0.55862,TR,28.4
2064,10644,Main Road,0.46735,TR,31.5
2065,10648,Waterloo Road,0.02897,TR,27.0
2066,10649,Main Road,0.68398,TR,25.3
2067,10644,Main Road,0.06331,TR,28.0
2068,10643,Riverstone Road,0.40404,TR,34.2
2069,10641,Waterloo Road,0.61672,TR,29.3
2070,10655,Gabriel Road,0.01022,TR,40.0
2071,10656,Simon Van Der Stel Freeway,0.41059,TR,49.0
2072,10657,Spaanschemat River Road,1.4199,TR,51.1
2073,10657,Spaanschemat River Road,0.03603,TR,28.0
2074,10656,Simon Van Der Stel Freeway,1.40338,TR,49.5
2075,10655,Gabriel Road,0.40129,TR,44.8
2076,10666,Hanover Park Avenue,0.05325,TR,28.0
2077,10665,Jan Smuts Drive,0.94879,TR,34.6
2078,10664,Lansdowne Road,0.45371,TR,35.1
