NID,PC,DE,LE,TY,FF
1936,5156,C de la Virgen,0.51145,TR,24.98
1937,5155,Eje 2 Ote/C del Canal de Miramontes,0.46074,TR,21.38
1938,5154,Circuito Interior (Av Rio Churubusco),0.14826,TR,31.07
1939,5153,C Oceania,0.96321,TR,27.96
1940,5152,Av Ingeniero Eduardo Molina,0.58994,TR,23.8
1941,5155,Eje 2 Ote/C del Canal de Miramontes,0.01144,TR,22.37
1942,5156,C de la Virgen,0.45564,TR,22.74
1943,5157,Av Santa Ana,0.52463,TR,22.31
1944,5158,Calz Taxqueña,0.57805,TR,20.13
1945,5159,Eje 5 N,0.81838,TR,22.8
1946,14440,Paseo Parque del Río/Calzada de la Viga,0.21327,TR,29.64
1947,13230,Avenida Division del Norte,0.01465,TR,17.4
1948,13229,Avenida Pacifico,0.11243,TR,14.04
1949,5169,Av Aztecas/C Monserrat,0.1342,TR,22.0
1950,5168,C Profesora Aurora Reza,0.39697,TR,20.13
1951,5167,C Antonio Delfín Madrigal,0.90393,TR,24.61
1952,5166,C del Cerro del Agua,0.2028,TR,20.32
1953,5165,Av Insurgentes Sur,0.99562,TR,23.05
1954,5162,C San Jerónimo Eje Diez Sur,0.61658,TR,24.79
1955,5161,Av San Jeronimo,0.458,TR,26.53
1956,5160,Anillo Periférico,0.38547,TR,24.42
1957,5145,Av Instituto Técnico Industrial,0.02199,TR,16.16
1958,5146,Av Insurgentes Norte,0.75441,TR,23.24
1959,13801,Eje 1 Poniente/Guerrero,0.38574,TR,20.32
1960,5147,C Francisco Zarco,0.14309,TR,24.05
1961,5148,Av Paseo de la Reforma,0.42653,TR,24.42
1962,5149,C Jesús Carranza,0.51564,TR,23.67
1963,5150,C Anillo de Circunvalación,0.50991,TR,20.69
1964,5151,Av Congreso de la Unión,0.44465,TR,22.43
1965,5152,Av Ingeniero Eduardo Molina,0.27561,TR,23.43
1966,5153,C Oceania,0.70898,TR,26.53
1967,5154,Circuito Interior (Av Rio Churubusco),0.96922,TR,28.02
1968,5160,Anillo Periférico,0.24701,TR,24.67
1969,5161,Av San Jeronimo,0.20005,TR,26.72
1970,5162,C San Jerónimo Eje Diez Sur,0.34411,TR,28.21
1971,5165,Av Insurgentes Sur,1.02548,TR,25.6
1972,5166,C del Cerro del Agua,0.60637,TR,19.08
1973,5167,C Antonio Delfín Madrigal,0.23363,TR,18.64
1974,5168,C Profesora Aurora Reza,0.87143,TR,24.17
1975,5169,Av Aztecas/C Monserrat,0.53921,TR,24.98
1976,13229,Avenida Pacifico,0.24544,TR,21.25
1977,13230,Avenida Division del Norte,0.11824,TR,12.86
1978,5176,MEX-150D/Autopista Mexico-Puebla,0.22738,TR,24.92
1979,5175,Cerrada del Pipila,0.74241,TR,24.42
1980,5174,Cerrada Narciso María Loreto,0.73068,TR,21.25
1981,5172,Blvd Estanislao Ramírez,2.15115,TR,27.96
1982,5171,C Diez Sur Santa Catarina,0.59252,TR,22.37
1983,14824,General Pedro María Anaya,0.36014,TR,17.71
1984,5170,Av Tlahuac/C Tlahuac/C Morelos,0.48064,TR,18.52
1985,5177,Eje 2 Sur/Av Yucatán,0.01053,TR,17.4
1986,5178,Av Cuauhtémoc,0.50385,TR,22.12
1987,5179,C Doctor José María Vertiz,0.39949,TR,21.44
1988,5180,Av Lázaro Cárdenas,0.2894,TR,19.57
1989,5181,Eje 2 Sur/C José Tomás Cuellar,0.51783,TR,21.69
1990,5196,Gral Cesareo Castro,0.00665,TR,16.78
1991,5195,Blvd Pipila,0.26017,TR,19.32
1992,5194,Av de las Fuentes,0.22505,TR,21.38
1993,5194,Av de las Fuentes,0.01225,TR,16.78
1994,5195,Blvd Pipila,0.23443,TR,19.51
1995,5196,Gral Cesareo Castro,0.23722,TR,16.53
1996,5171,C Diez Sur Santa Catarina,0.40162,TR,16.28
1997,5172,Blvd Estanislao Ramírez,0.60763,TR,22.25
1998,5174,Cerrada Narciso María Loreto,2.12869,TR,27.4
1999,5175,Cerrada del Pipila,0.74497,TR,19.51
2000,5176,MEX-150D/Autopista Mexico-Puebla,0.96587,TR,20.38
2001,5205,Calz de la Naranja,0.02609,TR,16.16
2002,5204,C Ferrocarriles Nacionales,0.14517,TR,18.27
2003,5203,Piramide/C Pirámide,0.41042,TR,17.15
2004,5197,Av Texcoco,0.02158,TR,13.67
2005,5198,Av Pantitlán,0.77201,TR,19.39
2006,5199,C de la Cama de Piedra,0.59868,TR,20.01
2007,5200,Av Chimalhuacán,0.16311,TR,18.45
2008,5201,C Morelos Sur,0.4245,TR,22.37
2009,5202,Av Bordo de Xochiaca,0.70632,TR,18.08
2010,5202,Av Bordo de Xochiaca,0.03349,TR,17.4
2011,5201,C Morelos Sur,0.68038,TR,22.8
2012,5200,Av Chimalhuacán,0.44368,TR,21.75
2013,5199,C de la Cama de Piedra,0.1339,TR,19.2
2014,5198,Av Pantitlán,0.61502,TR,20.44
2015,5197,Av Texcoco,0.7657,TR,19.95
