NID,PC,DE,LE,TY,FF
87,386,J. K. Kapur Chowk/Sir Pochkhanwala Road,0.35167,TR,19.0
88,386,J. K. Kapur Chowk/Sir Pochkhanwala Road,0.0514,TR,20.0
89,385,Bandra Worli Sea Link,0.28498,TR,19.0
90,384,Dr R. G. Thadani Marg,1.03909,TR,39.0
91,383,Dr Annie Besant Road/Love Grove Road,1.2666,TR,38.0
92,393,Esplande Road/Mahatma Gandhi Marg,0.01427,TR,33.0
93,392,SMT Pramilabai Chavan Chowk/Karmveer Bhaurao Patil Marg,0.16639,TR,32.0
94,388,NH-8/Western Express Highway/Mumbai Ahmedabad Highway,0.08524,TR,25.0
95,389,Subhash Chandra Bose Chowk/Cardinal Gracious Road/Chakala Road,0.3918,TR,34.0
96,390,Gurunanak Chowk/M. V. Marg,0.91273,TR,32.0
97,396,Aarey Road,0.01976,TR,30.0
98,395,Jogeshwari Vikhroli Link Road/Marol Maroshi Road,0.70471,TR,19.0
99,395,Jogeshwari Vikhroli Link Road/Marol Maroshi Road,0.02017,TR,20.0
100,396,Aarey Road,0.70431,TR,20.0
101,401,Saki Vihar Road,0.02548,TR,17.0
102,400,Pathan Wadi Road,0.63242,TR,21.0
103,399,Powai Check Naka,0.49197,TR,21.0
104,398,Aarey Road,0.55101,TR,20.0
105,398,Aarey Road,0.0506,TR,20.0
106,399,Powai Check Naka,0.5004,TR,20.0
107,400,Pathan Wadi Road,0.49197,TR,20.0
108,401,Saki Vihar Road,0.65791,TR,21.0
109,414,Prabodhankar Thakare Road,0.09769,TR,40.0
110,413,Sewree Naka Chowk/T. J. Road/Tokersey Jivraj Marg,0.1784,TR,20.0
111,412,Saint Shreshtha Gora Kumbhar Chowk/G. D. Ambekar Marg,0.46774,TR,26.0
112,411,Dr S. S. Rao Marg,0.32657,TR,22.0
113,410,Dr Vasant Ramji Khanolkar Chowk,0.28609,TR,27.0
114,409,Madake Buwa Chowk/Dr Babasaheb Ambedkar Marg,0.28006,TR,27.0
115,406,NH-48/Aarey Flyover/Mumbai Ahmedabad Road,0.90285,TR,26.0
116,405,Mumbai (North),3.12381,TR,28.0
117,404,Adiwasi Veer Birsa Munda Chowk/Marol Maroshi Road,1.61063,TR,29.0
118,403,Mumbai (South),0.65262,TR,20.0
119,421,Chatrapati Shivaji Maharaj Marg,0.02287,TR,18.0
120,420,Mahakavi Bhushan Marg/Rao Bahadur Harishchandra Desai Chowk,0.05191,TR,18.0
121,403,Mumbai (South),0.03527,TR,20.0
122,404,Adiwasi Veer Birsa Munda Chowk/Marol Maroshi Road,0.64016,TR,20.0
123,405,Mumbai (North),1.59392,TR,29.0
124,406,NH-48/Aarey Flyover/Mumbai Ahmedabad Road,3.17332,TR,29.0
125,407,Gogatewadi Road,0.90789,TR,29.0
126,409,Madake Buwa Chowk/Dr Babasaheb Ambedkar Marg,0.01045,TR,24.0
127,410,Dr Vasant Ramji Khanolkar Chowk,0.30512,TR,29.0
128,411,Dr S. S. Rao Marg,0.25017,TR,27.0
129,412,Saint Shreshtha Gora Kumbhar Chowk/G. D. Ambekar Marg,0.31949,TR,27.0
130,413,Sewree Naka Chowk/T. J. Road/Tokersey Jivraj Marg,0.47248,TR,27.0
131,414,Prabodhankar Thakare Road,0.20619,TR,22.0
132,418,Shree Swami Samarth Nagar Chowk,0.04443,TR,19.0
133,417,Laxmi Estate Road,0.39153,TR,30.0
134,416,Jai Prakash Road/Versova Road,0.74648,TR,34.0
135,416,Jai Prakash Road/Versova Road,0.01663,TR,29.0
136,417,Laxmi Estate Road,0.72774,TR,30.0
137,418,Shree Swami Samarth Nagar Chowk,0.42959,TR,28.0
138,420,Mahakavi Bhushan Marg/Rao Bahadur Harishchandra Desai Chowk,0.0224,TR,21.0
139,421,Chatrapati Shivaji Maharaj Marg,0.05648,TR,18.0
140,423,Sahar Elevated Road,0.03262,TR,25.0
141,424,Airport Road,0.13055,TR,25.0
142,425,Andheri Ghatkopar Road,0.72121,TR,27.0
143,425,Andheri Ghatkopar Road,0.03489,TR,20.0
144,424,Airport Road,0.67211,TR,27.0
145,429,Akurli Road/Lokhandwala Road/Akurli Mhada Vasahat Road,0.02061,TR,11.0
146,428,Wadar Pada No. 2 Road,0.77212,TR,16.0
147,427,G. G. Mahalkari Marg/Islampuri Masjid Kurar Marg/Daftary Road,0.78212,TR,15.0
