city,scale,featurename,FI
bogota,025,avg degree,0.0099
bogota,025,avg lanes,0.0124
bogota,025,local centrality,0.0138
bogota,030,#SPN-2,0.0076
bogota,030,#SPN-3,0.0076
bogota,030,#SPN-4,0.011
bogota,030,#SPN-5,0.0007
bogota,030,#edges,0.0064
bogota,030,#free turns,0.0176
bogota,030,#nodes,0.0081
bogota,030,#total crossings,0.0277
bogota,030,#traffic lights,0.0219
bogota,030,SPN-avg,0.0137
bogota,030,avg circuity,0.0116
bogota,030,avg degree,0.0086
bogota,030,avg lanes,0.0144
bogota,030,local centrality,0.0046
bogota,040,#SPN-2,0.0037
bogota,040,#SPN-3,0.0099
bogota,040,#SPN-4,0.0146
bogota,040,#SPN-5,0.001
bogota,040,#edges,0.0096
bogota,040,#free turns,0.0059
bogota,040,#nodes,0.0056
bogota,040,#total crossings,0.0267
bogota,040,#traffic lights,0.0258
bogota,040,SPN-avg,0.0134
bogota,040,avg circuity,0.0139
bogota,040,avg degree,0.009
bogota,040,avg lanes,0.0181
bogota,040,local centrality,0.0071
bogota,050,#SPN-2,0.0043
bogota,050,#SPN-3,0.0085
bogota,050,#SPN-4,0.0105
bogota,050,#SPN-5,0.001
bogota,050,#edges,0.0064
bogota,050,#free turns,0.0094
bogota,050,#nodes,0.006
bogota,050,#total crossings,0.0298
bogota,050,#traffic lights,0.0219
bogota,050,SPN-avg,0.0231
bogota,050,avg circuity,0.0078
bogota,050,avg degree,0.0128
bogota,050,avg lanes,0.014
bogota,050,local centrality,0.0116
bogota,060,#SPN-2,0.0033
bogota,060,#SPN-3,0.0104
bogota,060,#SPN-4,0.015
bogota,060,#SPN-5,0.0005
bogota,060,#edges,0.0066
bogota,060,#free turns,0.0174
bogota,060,#nodes,0.0096
bogota,060,#total crossings,0.0244
bogota,060,#traffic lights,0.0128
bogota,060,SPN-avg,0.0141
bogota,060,avg circuity,0.0048
bogota,060,avg degree,0.0127
bogota,060,avg lanes,0.0191
bogota,060,local centrality,0.0075
bogota,070,#SPN-2,0.0029
bogota,070,#SPN-3,0.0108
bogota,070,#SPN-4,0.0163
bogota,070,#SPN-5,0.0003
bogota,070,#edges,0.0054
bogota,070,#free turns,0.0217
bogota,070,#nodes,0.0101
bogota,070,#total crossings,0.0283
bogota,070,#traffic lights,0.0039
bogota,070,SPN-avg,0.0166
bogota,070,avg circuity,0.0056
bogota,070,avg degree,0.0135
bogota,070,avg lanes,0.0182
bogota,070,local centrality,0.0108
bogota,080,#SPN-2,0.0031
bogota,080,#SPN-3,0.0095
bogota,080,#SPN-4,0.0115
bogota,080,#SPN-5,0.0006
bogota,080,#edges,0.0062
bogota,080,#free turns,0.0164
bogota,080,#nodes,0.0071
bogota,080,#total crossings,0.0299
bogota,080,#traffic lights,0.0057
bogota,080,SPN-avg,0.0167
bogota,080,avg circuity,0.0053
bogota,080,avg degree,0.0137
bogota,080,avg lanes,0.0156
bogota,080,local centrality,0.0113
bogota,090,#SPN-2,0.004
bogota,090,#SPN-3,0.0094
bogota,090,#SPN-4,0.0083
bogota,090,#SPN-5,0.0002
bogota,090,#edges,0.0059
bogota,090,#free turns,0.019
bogota,090,#nodes,0.009
bogota,090,#total crossings,0.0314
bogota,090,#traffic lights,0.008
bogota,090,SPN-avg,0.0172
bogota,090,avg circuity,0.0054
bogota,090,avg degree,0.0161
bogota,090,avg lanes,0.019
bogota,090,local centrality,0.0101
bogota,100,#SPN-2,0.0025
bogota,100,#SPN-3,0.0096
bogota,100,#SPN-4,0.0112
bogota,100,#SPN-5,0.0002
bogota,100,#edges,0.0074
bogota,100,#free turns,0.0187
bogota,100,#nodes,0.0122
bogota,100,#total crossings,0.0287
bogota,100,#traffic lights,0.0044
bogota,100,SPN-avg,0.0124
bogota,100,avg circuity,0.0047
bogota,100,avg degree,0.0133
bogota,100,avg lanes,0.014
bogota,100,local centrality,0.0152
capetown,020,#SPN-2,0.0023
capetown,020,#SPN-3,0.0016
capetown,020,#SPN-4,0.0027
capetown,020,#SPN-5,0.0002
capetown,020,#edges,0.0014
capetown,020,#free turns,0.0017
capetown,020,#nodes,0.0021
capetown,020,#total crossings,0.0059
capetown,020,#traffic lights,0.0044
capetown,020,SPN-avg,0.0045
capetown,020,avg circuity,0.003
capetown,020,avg degree,0.0023
capetown,020,avg lanes,0.0016
capetown,020,local centrality,0.002
capetown,025,#SPN-2,0.0021
capetown,025,#SPN-3,0.002
capetown,025,#SPN-4,0.0037
capetown,025,#SPN-5,0.0001
capetown,025,#edges,0.0015
capetown,025,#free turns,0.0004
capetown,025,#nodes,0.0022
capetown,025,#total crossings,0.0039
capetown,025,#traffic lights,0.0051
capetown,025,SPN-avg,0.0045
capetown,025,avg circuity,0.0042
capetown,025,avg degree,0.0023
capetown,025,avg lanes,0.0013
capetown,025,local centrality,0.0012
capetown,030,#SPN-2,0.0034
capetown,030,#SPN-3,0.0023
capetown,030,#SPN-4,0.0037
capetown,030,#SPN-5,0.0001
capetown,030,#edges,0.0019
capetown,030,#free turns,0.0005
capetown,030,#nodes,0.0018
capetown,030,#total crossings,0.0028
capetown,030,#traffic lights,0.0046
capetown,030,SPN-avg,0.0052
capetown,030,avg circuity,0.0042
capetown,030,avg degree,0.0028
capetown,030,avg lanes,0.0019
capetown,030,local centrality,0.0023
capetown,040,#SPN-2,0.0023
capetown,040,#SPN-3,0.0017
capetown,040,#SPN-4,0.0029
capetown,040,#SPN-5,0.0001
capetown,040,#edges,0.0018
