city,scale,featurename,FI
bogota,025,avg circuity,0.11
bogota,025,avg degree,0.0338
bogota,025,avg lanes,0.082
bogota,025,local centrality,0.0572
bogota,030,#SPN-2,0.0316
bogota,030,#SPN-3,0.1184
bogota,030,#SPN-4,0.0465
bogota,030,#SPN-5,0.0072
bogota,030,#edges,0.0756
bogota,030,#free turns,0.0207
bogota,030,#nodes,0.0862
bogota,030,#total crossings,0.1507
bogota,030,#traffic lights,0.1274
bogota,030,SPN-avg,0.0285
bogota,030,avg circuity,0.0838
bogota,030,avg degree,0.0362
bogota,030,avg lanes,0.0549
bogota,030,local centrality,0.0287
bogota,040,#SPN-2,0.0257
bogota,040,#SPN-3,0.0873
bogota,040,#SPN-4,0.1251
bogota,040,#SPN-5,0.0043
bogota,040,#edges,0.082
bogota,040,#free turns,0.0101
bogota,040,#nodes,0.0777
bogota,040,#total crossings,0.0724
bogota,040,#traffic lights,0.0676
bogota,040,SPN-avg,0.0349
bogota,040,avg circuity,0.1112
bogota,040,avg degree,0.0601
bogota,040,avg lanes,0.0944
bogota,040,local centrality,0.0185
bogota,050,#SPN-2,0.0258
bogota,050,#SPN-3,0.0572
bogota,050,#SPN-4,0.0709
bogota,050,#SPN-5,0.0022
bogota,050,#edges,0.0446
bogota,050,#free turns,0.0305
bogota,050,#nodes,0.0722
bogota,050,#total crossings,0.1161
bogota,050,#traffic lights,0.1667
bogota,050,SPN-avg,0.042
bogota,050,avg circuity,0.0881
bogota,050,avg degree,0.0448
bogota,050,avg lanes,0.0559
bogota,050,local centrality,0.0217
bogota,060,#SPN-2,0.0301
bogota,060,#SPN-3,0.1087
bogota,060,#SPN-4,0.083
bogota,060,#SPN-5,0.0027
bogota,060,#edges,0.0514
bogota,060,#free turns,0.0689
bogota,060,#nodes,0.1117
bogota,060,#total crossings,0.0861
bogota,060,#traffic lights,0.0749
bogota,060,SPN-avg,0.0373
bogota,060,avg circuity,0.0406
bogota,060,avg degree,0.043
bogota,060,avg lanes,0.0693
bogota,060,local centrality,0.0348
bogota,070,#SPN-2,0.021
bogota,070,#SPN-3,0.0643
bogota,070,#SPN-4,0.1012
bogota,070,#SPN-5,0.0043
bogota,070,#edges,0.0501
bogota,070,#free turns,0.0408
bogota,070,#nodes,0.087
bogota,070,#total crossings,0.1255
bogota,070,#traffic lights,0.0914
bogota,070,SPN-avg,0.0449
bogota,070,avg circuity,0.065
bogota,070,avg degree,0.0258
bogota,070,avg lanes,0.065
bogota,070,local centrality,0.0212
bogota,080,#SPN-2,0.0311
bogota,080,#SPN-3,0.0743
bogota,080,#SPN-4,0.0712
bogota,080,#SPN-5,0.0038
bogota,080,#edges,0.0574
bogota,080,#free turns,0.0255
bogota,080,#nodes,0.0786
bogota,080,#total crossings,0.1276
bogota,080,#traffic lights,0.163
bogota,080,SPN-avg,0.0372
bogota,080,avg circuity,0.063
bogota,080,avg degree,0.0385
bogota,080,avg lanes,0.0515
bogota,080,local centrality,0.0261
bogota,090,#SPN-2,0.0204
bogota,090,#SPN-3,0.0555
bogota,090,#SPN-4,0.0684
bogota,090,#SPN-5,0.0027
bogota,090,#edges,0.0431
bogota,090,#free turns,0.046
bogota,090,#nodes,0.073
bogota,090,#total crossings,0.1456
bogota,090,#traffic lights,0.1197
bogota,090,SPN-avg,0.0534
bogota,090,avg circuity,0.0454
bogota,090,avg degree,0.0263
bogota,090,avg lanes,0.0632
bogota,090,local centrality,0.0321
bogota,100,#SPN-2,0.032
