city,scale,featurename,FI
istanbul,150,#traffic lights,0.0208
istanbul,150,SPN-avg,0.0669
istanbul,150,avg circuity,0.0147
istanbul,150,avg degree,0.0273
istanbul,150,avg lanes,0.0251
istanbul,150,local centrality,0.0151
mexicocity,025,#SPN-2,0.0476
mexicocity,025,#SPN-3,0.0638
mexicocity,025,#SPN-4,0.1028
mexicocity,025,#SPN-5,0.0177
mexicocity,025,#edges,0.0557
mexicocity,025,#free turns,0.0086
mexicocity,025,#nodes,0.097
mexicocity,025,#total crossings,0.1442
mexicocity,025,#traffic lights,0.1869
mexicocity,025,SPN-avg,0.0287
mexicocity,025,avg circuity,0.0557
mexicocity,025,avg degree,0.022
mexicocity,025,avg lanes,0.0261
mexicocity,025,local centrality,0.0169
mexicocity,050,#SPN-2,0.061
mexicocity,050,#SPN-3,0.0409
mexicocity,050,#SPN-4,0.1038
mexicocity,050,#SPN-5,0.0114
mexicocity,050,#edges,0.0488
mexicocity,050,#free turns,0.0067
mexicocity,050,#nodes,0.0588
mexicocity,050,#total crossings,0.1257
mexicocity,050,#traffic lights,0.216
mexicocity,050,SPN-avg,0.0387
mexicocity,050,avg circuity,0.072
mexicocity,050,avg degree,0.024
mexicocity,050,avg lanes,0.0299
mexicocity,050,local centrality,0.0204
mexicocity,100,#SPN-2,0.0796
mexicocity,100,#SPN-3,0.0387
mexicocity,100,#SPN-4,0.107
mexicocity,100,#SPN-5,0.0034
mexicocity,100,#edges,0.0327
mexicocity,100,#free turns,0.0045
mexicocity,100,#nodes,0.0389
mexicocity,100,#total crossings,0.1343
mexicocity,100,#traffic lights,0.1808
mexicocity,100,SPN-avg,0.0595
mexicocity,100,avg circuity,0.0709
mexicocity,100,avg degree,0.0283
mexicocity,100,avg lanes,0.0348
mexicocity,100,local centrality,0.0147
mumbai,025,#SPN-2,0.0374
mumbai,025,#SPN-3,0.0375
mumbai,025,#SPN-4,0.0619
mumbai,025,#SPN-5,0.0066
mumbai,025,#edges,0.0357
mumbai,025,#free turns,0.0075
mumbai,025,#nodes,0.0433
mumbai,025,#total crossings,0.0997
mumbai,025,#traffic lights,0.1124
mumbai,025,SPN-avg,0.0337
mumbai,025,avg circuity,0.0486
mumbai,025,avg degree,0.0315
mumbai,025,avg lanes,0.0392
mumbai,025,local centrality,0.033
mumbai,050,#SPN-2,0.0319
mumbai,050,#SPN-3,0.0317
mumbai,050,#SPN-4,0.0549
mumbai,050,#SPN-5,0.0046
mumbai,050,#edges,0.042
mumbai,050,#free turns,0.0024
mumbai,050,#nodes,0.0581
mumbai,050,#total crossings,0.0938
mumbai,050,#traffic lights,0.097
mumbai,050,SPN-avg,0.0278
mumbai,050,avg circuity,0.0586
mumbai,050,avg degree,0.0318
mumbai,050,avg lanes,0.0361
mumbai,050,local centrality,0.0356
mumbai,100,#SPN-2,0.0205
mumbai,100,#SPN-3,0.0264
mumbai,100,#SPN-4,0.0792
mumbai,100,#SPN-5,0.0027
mumbai,100,#edges,0.0462
mumbai,100,#free turns,0.0032
mumbai,100,#nodes,0.0448
mumbai,100,#total crossings,0.1016
mumbai,100,#traffic lights,0.1064
mumbai,100,SPN-avg,0.0303
mumbai,100,avg circuity,0.0332
mumbai,100,avg degree,0.0338
mumbai,100,avg lanes,0.0158
mumbai,100,local centrality,0.0437
newyorkcity,025,#SPN-2,0.0147
newyorkcity,025,#SPN-3,0.0151
newyorkcity,025,#SPN-4,0.0478
newyorkcity,025,#SPN-5,0.0077
newyorkcity,025,#edges,0.0127
newyorkcity,025,#free turns,0.0797
newyorkcity,025,#nodes,0.0149
newyorkcity,025,#total crossings,0.1179
newyorkcity,025,#traffic lights,0.1176
newyorkcity,025,SPN-avg,0.0407
newyorkcity,025,avg circuity,0.0361
newyorkcity,025,avg degree,0.0146
newyorkcity,025,avg lanes,0.0377
newyorkcity,025,local centrality,0.0104
newyorkcity,050,#SPN-2,0.0106
newyorkcity,050,#SPN-3,0.0159
newyorkcity,050,#SPN-4,0.0488
newyorkcity,050,#SPN-5,0.0046
newyorkcity,050,#edges,0.016
newyorkcity,050,#free turns,0.069
newyorkcity,050,#nodes,0.0162
newyorkcity,050,#total crossings,0.1512
newyorkcity,050,#traffic lights,0.135
newyorkcity,050,SPN-avg,0.0428
newyorkcity,050,avg circuity,0.0376
newyorkcity,050,avg degree,0.0106
newyorkcity,050,avg lanes,0.031
