model,city,seed,depth,tod,#datapoints,#datapoints-train-sample-mean,#datapoints-test-sample-mean,np.mean(lr_object.scores_MSE),np.std(lr_object.scores_MSE),np.mean(lr_object.scores_QWK),np.std(lr_object.scores_QWK),num_splits
randomforestregressor,London,10,1,6,"(103, 16)",69.0,34.0,8.08318573550972,1.219716589641677,0.415112355015959,0.06350979039044194,7
lasso,London,10,1,6,"(103, 16)",69.0,34.0,7.968636875622248,0.9919730250982317,0.271282467980149,0.03415882562945502,7
lasso,Auckland,90,1,6,"(1469, 16)",984.0,485.0,3.1417176505407416,0.15601202256757424,0.0,0.0,7
randomforestregressor,Mumbai,65,1,6,"(233, 16)",156.0,77.0,6.639770981270567,0.8180162827696744,0.23434956115458014,0.06287600197750892,7
randomforestregressor,London,90,1,6,"(4027, 16)",2698.0,1329.0,4.289983489999068,0.3095047362480739,0.17256840646563587,0.03087890321289173,7
linearregression,Bogota,50,1,6,"(265, 16)",177.0,88.0,65.5842152048877,102.25189446183116,0.3253513806819076,0.4692389141060943,7
linearregression,Zurich,70,1,6,"(247, 16)",165.0,82.0,8.857936249380444,1.5430909239038992,0.3287375984844366,0.09576008768453784,7
lasso,Zurich,90,1,6,"(364, 16)",243.0,121.0,8.044800170020931,0.72871650735689,0.027672472976679914,0.020239122237982014,7
ridge,Mumbai,90,1,6,"(386, 16)",258.0,128.0,5.759688467356805,0.2871046634216783,0.2583544996660964,0.03487796656164512,7
ridge,Auckland,30,1,6,"(297, 16)",198.0,99.0,2.4120821422083765,0.3705745504567498,0.7192154571019348,0.04707907869604556,7
linearregression,Mumbai,85,1,6,"(355, 16)",237.0,118.0,11.36678043124214,8.403040258911659,0.1716745288286898,0.06333835771349333,7
linearregression,NewYorkCity,50,1,6,"(946, 16)",633.0,313.0,7.168939267171017,1.2687165599740167,0.36515162968301296,0.07840200986442183,7
ridge,NewYorkCity,30,1,6,"(386, 16)",258.0,128.0,6.664240560271604,0.20415679745933724,0.4542682054939434,0.021133323834674415,7
lasso,London,90,1,6,"(4027, 16)",2698.0,1329.0,4.293074602147258,0.2530845310164897,0.0,0.0,7
lasso,Capetown,50,1,6,"(690, 16)",462.0,228.0,4.287239075855118,0.30574166713735224,0.22562223333265097,0.0331750775332661,7
randomforestregressor,Auckland,50,1,6,"(635, 16)",425.0,210.0,2.2154878686488364,0.2776736068040077,0.6758931627513399,0.03131281460107125,7
randomforestregressor,Mumbai,50,1,6,"(153, 16)",102.0,51.0,6.628590252415696,1.0966092811442483,0.2647209423481958,0.07334614099151171,7
lasso,Istanbul,30,1,6,"(740, 16)",495.0,245.0,4.689484715844217,0.563533193211572,0.34153216923384994,0.04871471491677102,7
linearregression,Mumbai,50,1,6,"(153, 16)",102.0,51.0,58.12376685906947,28.313608518978075,0.04264558994578122,0.1831770207292249,7
lasso,London,70,1,6,"(2783, 16)",1864.0,919.0,4.644074678194484,0.35994685603574017,0.0,0.0,7
lasso,Bogota,50,1,6,"(265, 16)",177.0,88.0,7.890760557733811,0.5524600140064949,0.5627421191992431,0.014890631137447513,7
lasso,MexicoCity,10,1,6,"(41, 16)",27.0,14.0,9.236621578140362,2.104061055864071,0.2681951435062567,0.09433334211961114,7
randomforestregressor,Bogota,30,1,6,"(129, 16)",86.0,43.0,7.503344619309816,2.47145819937309,0.6682382087647181,0.10964910494634202,7
ridge,Zurich,85,1,6,"(330, 16)",221.0,109.0,7.627692020448725,0.9724472100388324,0.34636311670783615,0.058813931798098,7
linearregression,Zurich,50,1,6,"(143, 16)",95.0,48.0,17.87345448030899,11.379860019006074,0.2528639531425855,0.17828471463962145,7
ridge,Singapore,65,1,6,"(623, 16)",417.0,206.0,3.252681954625474,0.3143054935239334,0.5636824253336244,0.025770177340943376,7
lasso,Capetown,90,1,6,"(1614, 16)",1081.0,533.0,3.7879501881941633,0.1728912168282182,0.0,0.0,7
ridge,Singapore,105,1,6,"(1397, 16)",935.0,462.0,3.0479558230457995,0.16965125104789647,0.48064486735023276,0.020614375998059577,7
ridge,Singapore,25,1,6,"(132, 16)",88.0,44.0,4.135855041800714,0.8517386038722056,0.6984655051499317,0.045695508817814014,7
ridge,Istanbul,90,1,6,"(4028, 16)",2698.0,1330.0,2.5348159682079694,0.10614705802215207,0.5136100664453686,0.008019486416998843,7
lasso,Auckland,10,1,6,"(55, 16)",36.0,19.0,4.466803198223925,1.6755518267181488,0.6399587132795084,0.1127595348078656,7
linearregression,NewYorkCity,10,1,6,"(56, 16)",37.0,19.0,1673.051261892413,2494.9946034318646,0.07561935610918327,0.27849089599561094,7
ridge,NewYorkCity,70,1,6,"(1681, 16)",1126.0,555.0,5.445795774971994,0.20449356522072698,0.37299919079101423,0.012423771117357832,7
randomforestregressor,Mumbai,105,1,6,"(505, 16)",338.0,167.0,5.618288428324143,0.7072427295308005,0.2090081143934224,0.08877542203234329,7
linearregression,Capetown,50,1,6,"(690, 16)",462.0,228.0,40.62606253052926,70.47167143337862,0.2876774282038858,0.16487443256285605,7
lasso,Singapore,45,1,6,"(336, 16)",225.0,111.0,5.468092910882244,0.4087199808090827,0.20468167431016784,0.06617539285458626,7
lasso,Mumbai,50,1,6,"(153, 16)",102.0,51.0,6.869675522240599,0.7459603648427089,-0.0002969643549724589,0.0029980232933163467,7
randomforestregressor,NewYorkCity,30,1,6,"(386, 16)",258.0,128.0,6.892106416394434,0.7879556024542453,0.4476093672980138,0.054839215919876894,7
lasso,Bogota,90,1,6,"(626, 16)",419.0,207.0,7.69820370272259,0.9017406202882206,0.5134280875244013,0.03811105745865562,7
linearregression,Singapore,45,1,6,"(336, 16)",225.0,111.0,9.5212213721034,7.760443037843964,0.3495206272396628,0.2401057159674504,7
lasso,Singapore,65,1,6,"(623, 16)",417.0,206.0,4.4846881917135795,0.3969368118249382,0.2231084964493608,0.02702107297356313,7
linearregression,Mumbai,30,1,6,"(72, 16)",48.0,24.0,410.4448255509515,410.1051248126906,0.1413134323007929,0.11481998405250433,7
randomforestregressor,MexicoCity,50,1,6,"(511, 16)",342.0,169.0,5.950373854248867,0.47368740343947635,0.4737303895077042,0.04309710409348873,7
ridge,Singapore,10,1,6,"(30, 16)",20.0,10.0,5.820257961331473,2.1704926581390636,0.5836579810108378,0.1757502759187663,7
randomforestregressor,Capetown,30,1,6,"(314, 16)",210.0,104.0,3.1250321528197946,0.23637544842524616,0.6828458962542369,0.030023956824339712,7
linearregression,London,30,1,6,"(723, 16)",484.0,239.0,5.904839221184637,0.5395966033138883,0.34473130258181744,0.06675856693531627,7
ridge,Mumbai,70,1,6,"(259, 16)",173.0,86.0,6.874441321009546,0.7914992178744185,0.18694823625734638,0.02827862658058169,7
lasso,Singapore,105,1,6,"(1397, 16)",935.0,462.0,4.29999006718864,0.22016535154977984,0.0014844912641979338,0.003636246124904072,7
randomforestregressor,Mumbai,90,1,6,"(386, 16)",258.0,128.0,6.260911142513261,0.5877253122862626,0.19182543647148806,0.07999483917528726,7
ridge,Mumbai,50,1,6,"(153, 16)",102.0,51.0,6.502346065891957,1.2771515718092203,0.24868945413348148,0.09687575655714657,7
lasso,NewYorkCity,10,1,6,"(56, 16)",37.0,19.0,9.109788627991199,2.150718944317318,0.33522671372055907,0.1253762066830752,7
ridge,Mumbai,25,1,6,"(54, 16)",36.0,18.0,6.825395819236549,1.0373357862167452,0.22861797700139627,0.11417165092555173,7
ridge,MexicoCity,50,1,6,"(511, 16)",342.0,169.0,6.4424752147700834,0.3859481121472384,0.38547509809434083,0.027345717139396982,7
linearregression,Mumbai,105,1,6,"(505, 16)",338.0,167.0,8.443129765579561,3.197723142988754,0.1326528577089515,0.14825681699390675,7
linearregression,Bogota,30,1,6,"(129, 16)",86.0,43.0,19.300417137740048,15.441468322820764,0.5665564070497572,0.21196099527778167,7
randomforestregressor,Zurich,105,1,6,"(451, 16)",302.0,149.0,8.134631828011404,0.8094448020533522,0.24011530927203747,0.054845477549922014,7
lasso,Bogota,70,1,6,"(441, 16)",295.0,146.0,7.023471030863242,0.3313511026482087,0.5761029973030877,0.013758413911842743,7
linearregression,Istanbul,30,1,6,"(740, 16)",495.0,245.0,59.640185544313724,88.0654965140967,0.236714697171817,0.27190687410551057,7
linearregression,NewYorkCity,90,1,6,"(2589, 16)",1734.0,855.0,5.536082818182741,1.0117564490800728,0.2949298178588319,0.0970863789918893,7
ridge,NewYorkCity,90,1,6,"(2589, 16)",1734.0,855.0,4.897261001879601,0.21890655779920126,0.3555033577945155,0.019263716696118715,7
randomforestregressor,MexicoCity,30,1,6,"(235, 16)",157.0,78.0,5.715861709998826,0.7791599213960821,0.5289243649787719,0.06619089858062256,7
randomforestregressor,Istanbul,70,1,6,"(2751, 16)",1843.0,908.0,2.8369691730511524,0.1697003867466081,0.5585266071494118,0.020336144007351592,7
lasso,Istanbul,50,1,6,"(1652, 16)",1106.0,546.0,4.281032232296682,0.4624081420334223,0.0935934338125962,0.041463489687278254,7
randomforestregressor,MexicoCity,70,1,6,"(861, 16)",576.0,285.0,6.092683821058031,0.43607005348171324,0.4183706413493434,0.04777228902401342,7
ridge,Mumbai,30,1,6,"(72, 16)",48.0,24.0,8.634035583714953,1.9199691144846203,0.4253203760715682,0.08419301663176224,7
ridge,Istanbul,10,1,6,"(113, 16)",75.0,38.0,3.8390019471549706,1.4260730583278203,0.747993586294453,0.0728705328642774,7
randomforestregressor,Capetown,70,1,6,"(1144, 16)",766.0,378.0,3.4280419251804815,0.14498192684385164,0.47377416059257726,0.025954289219349346,7
randomforestregressor,London,70,1,6,"(2783, 16)",1864.0,919.0,4.488265488662947,0.37487308238430533,0.2095601740764513,0.02277501592869564,7
linearregression,MexicoCity,70,1,6,"(861, 16)",576.0,285.0,13.164443182860326,5.99482977079191,0.09205122311390863,0.18788461630785805,7
randomforestregressor,Bogota,50,1,6,"(265, 16)",177.0,88.0,6.682881584921893,0.7948327412593933,0.7084677373411419,0.042858250332101736,7
lasso,Istanbul,70,1,6,"(2751, 16)",1843.0,908.0,4.222161375810074,0.36719731525727295,0.00029827686851234347,0.0007306261299304719,7
ridge,Capetown,90,1,6,"(1614, 16)",1081.0,533.0,2.7963673191716683,0.1974149729694495,0.44128064553383595,0.029946365819164652,7
ridge,Mumbai,85,1,6,"(355, 16)",237.0,118.0,5.581918921179095,0.21827772974151816,0.24421766346272028,0.05525605968808257,7
lasso,Capetown,10,1,6,"(48, 16)",32.0,16.0,4.918759089379449,1.3822265333918295,0.5693757355560922,0.06097542927616927,7
linearregression,Istanbul,10,1,6,"(113, 16)",75.0,38.0,2151.8504678039567,3274.843645126263,0.27490882689359014,0.31603981378912216,7
randomforestregressor,Mumbai,45,1,6,"(131, 16)",87.0,44.0,6.6457028401148674,1.0260778944691944,0.32883475278977786,0.03066070549776773,7
lasso,Zurich,45,1,6,"(122, 16)",81.0,41.0,9.97557735340656,0.6734390102034075,0.20571814351959805,0.034441111707287635,7
ridge,London,10,1,6,"(103, 16)",69.0,34.0,7.600676559834528,0.7267145538019124,0.4129039432445219,0.07096742846437178,7
linearregression,Singapore,90,1,6,"(1082, 16)",724.0,358.0,3.409238638224372,0.2281922585159525,0.465608224592262,0.04117129558786845,7
lasso,Singapore,85,1,6,"(984, 16)",659.0,325.0,4.4395406479538995,0.2529519063722248,0.08118588855663186,0.020848183350179204,7
lasso,Singapore,25,1,6,"(132, 16)",88.0,44.0,4.979050115856466,0.7320976978530006,0.4820486992306389,0.046474424972104945,7
linearregression,Singapore,70,1,6,"(714, 16)",478.0,236.0,3.799420558979328,0.381779275203717,0.4941318155134548,0.05876053444079882,7
ridge,Zurich,70,1,6,"(247, 16)",165.0,82.0,8.931122685888237,1.210009620606078,0.3360033053099959,0.08178153765141274,7
linearregression,Zurich,30,1,6,"(62, 16)",41.0,21.0,56.75661594579675,59.78347225397194,0.1694530549790423,0.20621508369872693,7
randomforestregressor,Auckland,70,1,6,"(1031, 16)",690.0,341.0,1.9404847667488812,0.14019126076467026,0.6283538534037113,0.016020846777668935,7
linearregression,NewYorkCity,70,1,6,"(1681, 16)",1126.0,555.0,6.3565311447819,1.623359688736167,0.3541610771639497,0.05631634204691872,7
lasso,Singapore,90,1,6,"(1082, 16)",724.0,358.0,4.562471146367602,0.3419945412367562,0.009767716868750618,0.019686544820823337,7
